title,price,description,url
bresol drop spray,50.0,breathing solution for dry and stuffy nose,https://himalayawellness.in/collections/all/products/bresol-ns-drops-spray
pilex forte ointment,95.0,pilex ointment is now pilex forte ointment the medical answer to surgical problem,https://himalayawellness.in/collections/all/products/pilex-forte-ointment
gentle daily care protein conditioner,90.0,nourishes hair keep hair healthy himalaya gentle daily care protein conditioner is gentle formulation that condition and keep your hair silky smooth soft and tangle free,https://himalayawellness.in/collections/all/products/gentle-daily-care-protein-conditioner
tan removal orange face scrub,150.0,gently scrub away tanned skin cell reveals glowing skin himalaya tan removal orange face scrub gently exfoliates smoothens and lightens tan from the very first use,https://himalayawellness.in/collections/all/products/tan-removal-orange-face-scrub
hiora toothpaste,80.0,for comprehensive management of sensitive teeth and gum,https://himalayawellness.in/collections/all/products/hiora-k-toothpaste
himalaya gentle baby wash,85.0,himalaya gentle baby wash,https://himalayawellness.in/collections/all/products/himalaya-gentle-baby-wash
deep cleansing apricot face wash,79.0,remove blackhead himalaya deep cleansing apricot face wash gently remove dead skin cell and unclogs pore to reveal softer and smoother skin,https://himalayawellness.in/collections/all/products/deep-cleansing-apricot-face-wash
cystone tablet,165.0,cystone tablet,https://himalayawellness.in/collections/all/products/cystone-tablets
purim,120.0,the natural therapy for healthy skin,https://himalayawellness.in/collections/all/products/purim
refreshing clarifying toner,95.0,refreshes clarifies keep skin oil free himalaya refreshing clarifying toner is made from blend of natural ingredient that remove excess oil and cleanse dead skin cell and impurity from the skin surface,https://himalayawellness.in/collections/all/products/refreshing-clarifying-toner
himalaya pure hand tulsi purifying hand wash,50.0,purifies keep hand clean and healthy himalaya pure hand tulsi purifying hand wash is enriched with the goodness of tulsi,https://himalayawellness.in/collections/all/products/himalaya-pure-hands-tulsi-purifying-hand-wash
himalaya active fresh mint mouthwash,115.0,mint freshness and long lasting fresh breath no alcohol no burning sensation himalaya active fresh mint mouthwash is infused with the goodness of mint and papaya it prevents the buildup of plaque and mouth odor to provide visibly whiter teeth healthier gum and fresh breath it remove up to of bacteria and give up to hour of protection from germ based on in vitro laboratory study,https://himalayawellness.in/collections/all/products/himalaya-active-fresh-mint-mouthwash
himalaya clear complexion brightening day cream,270.0,brightens skin with uv protection,https://himalayawellness.in/collections/all/products/himalaya-clear-complexion-brightening-day-cream
damage repair protein conditioner,165.0,deep condition and rejuvenates himalaya damage repair protein conditioner provides intensive conditioning for dry frizzy or damaged hair,https://himalayawellness.in/collections/all/products/damage-repair-protein-conditioner
protective sunscreen lotion,220.0,prevents skin darkening check premature ageing himalaya protective sunscreen lotion is double action formulation that protects you from harmful uv ray and at the same time nourishes your skin,https://himalayawellness.in/collections/all/products/protective-sunscreen-lotion
kajal,140.0,define your eye naturally himalaya kajal is formulated with traditional ingredient like damask rose and triphala almond oil and castor oil to cool soothe and nourish your eye,https://himalayawellness.in/collections/all/products/kajal
rumalaya gel,110.0,rumalaya gel,https://himalayawellness.in/collections/all/products/rumalaya-gel
digyton plus,210.0,digestive stimulant for adult pet digyton plus stimulates the secretion of enzyme in the stomach which aid the digestion of food,https://himalayawellness.in/collections/all/products/digyton-plus
shishu anand baby wipe,99.0,keep baby skin hydrated help in gentle cleaning of baby skin and diaper area,https://himalayawellness.in/collections/all/products/shishu-anand-baby-wipes
extra moisturizing baby lotion,100.0,intensely moisturizes baby delicate skin help keep baby skin soft and supple for longer,https://himalayawellness.in/collections/all/products/extra-moisturizing-baby-lotion
refreshing baby soap,80.0,keep baby skin cool and fresh himalaya refreshing baby soap ha ingredient with cooling refreshing antibacterial property that are known to effectively help in management of prickly heat in baby,https://himalayawellness.in/collections/all/products/refreshing-baby-soap
gasex syrup,110.0,improves digestion,https://himalayawellness.in/collections/all/products/gasex-syrup
green tea ginger,70.0,swaad waali sehat waali green tea ginger is delightful combination of green tea sourced from the pristine nilgiris blue hill and fresh ginger which come together in perfect harmony to add magic to your daily cup of tea this unique blend aid digestion and metabolism,https://himalayawellness.in/collections/all/products/green-tea-ginger
natural glow kesar face pack,135.0,deep clean reveals glowing skin himalaya natural glow kesar face pack is unique natural formulation that even out skin tone for glowing you with the goodness of turmeric walnut indian aloe and kesar it rejuvenates and clean your skin off impurity to reveal natural glow,https://himalayawellness.in/collections/all/products/natural-glow-kesar-face-pack
trikatu,180.0,relief indigestion fact derived from ayurveda text and modern research the active constituent present in trikatu piperine and gingerol stimulate digestive enzyme responsible for healthy digestion,https://himalayawellness.in/collections/all/products/trikatu
herbolax,50.0,the gentle bowel regulator,https://himalayawellness.in/collections/all/products/herbolax
hiora toothpaste,65.0,toothpaste for inflamed and spongy gum,https://himalayawellness.in/collections/all/products/hiora-toothpaste
under eye cream,225.0,no more dark circle himalaya under eye cream contains proven and safe blend of herb specially created to care for the delicate area around the eye,https://himalayawellness.in/collections/all/products/under-eye-cream
youth eternity day cream,499.0,re plump reduces fine line and wrinkle himalaya youth eternity day cream is breakthrough anti aging formulation based on plant stem cell research and exotic herbal active,https://himalayawellness.in/collections/all/products/youth-eternity-day-cream
manjishtha,180.0,control skin tanning,https://himalayawellness.in/collections/all/products/manjishtha
karela,200.0,regulates glucose fact derived from ayurveda text and modern research,https://himalayawellness.in/collections/all/products/karela
revitalizing night cream,270.0,restores moisture balance and nourishes and repair himalaya herbal revitalizing night cream is deep penetrating luxurious cream that work overnight with the skin natural renewal cycle,https://himalayawellness.in/collections/all/products/revitalizing-night-cream
serpina,100.0,serpina,https://himalayawellness.in/collections/all/products/serpina
tulasi,200.0,relief cough and cold fact derived from ayurveda text and modern research tulasi help suppress cough and aid the mobilization of mucus,https://himalayawellness.in/collections/all/products/tulasi
himalaya anti dandruff cooling mint shampoo,310.0,remove dandruff cool and energizes scalp visible flake on regular use,https://himalayawellness.in/collections/all/products/himalaya-anti-dandruff-cooling-mint-shampoo
himalaya baby massage oil coconut,125.0,regular massaging strengthens muscle and enhances growth himalaya baby massage oil coconut is specially formulated with unique combination of oil and rich blend of herb that help nourish and improve skin luster traditionally coconut oil is known to improve body strength and help maintain healthy skin regular massage improves blood circulation strengthens muscle and help enhance your baby growth,https://himalayawellness.in/collections/all/products/himalaya-baby-massage-oil-coconut
youth eternity night cream,499.0,re plump and restores youthful skin himalaya youth eternity night cream is breakthrough anti aging formulation based on plant stem cell research and exotic herbal active,https://himalayawellness.in/collections/all/products/youth-eternity-night-cream
clear complexion brightening mulethi face scrub,150.0,brightens and reveals glowing skin himalaya clear complexion brightening mulethi face scrub is complexion enhancing face scrub with mild exfoliants that remove blackhead and deep rooted impurity to reveal glowing skin,https://himalayawellness.in/collections/all/products/clear-complexion-brightening-face-scrub
rich cocoa butter body cream,270.0,intensely moisturizes for healthy radiant skin indulge in this exotically rich body cream enriched with the goodness of cocoa butter that absorbs easily and eliminates dryness and dullness leaving your skin intensely moisturized healthy and radiant,https://himalayawellness.in/collections/all/products/rich-cocoa-butter-body-cream
talekt,135.0,new advance in derma care,https://himalayawellness.in/collections/all/products/talekt
reosto,180.0,reosto,https://himalayawellness.in/collections/all/products/reosto
himalaya pure hand tulsi aloe moisturizing hand wash,95.0,moisturizes and prevents excessive dryness himalaya pure hand tulsi aloe moisturizing hand wash is enriched with the goodness of tulsi,https://himalayawellness.in/collections/all/products/himalaya-pure-hands-tulsi-aloe-moisturizing-hand-wash
himalaya olive extra nourishing body lotion,95.0,deeply nourishes and restores skin moisture,https://himalayawellness.in/collections/all/products/himalaya-olive-extra-nourishing-body-lotion
scavon vet cream,65.0,topical antimicrobial himalaya scavon vet cream is an anti infective broad spectrum antimicrobial and antibacterial wound healer that promotes wound healing by rapid collagenization and epithelialization of tissue,https://himalayawellness.in/collections/all/products/scavon-vet-cream
complete care mouthwash,105.0,healthy gum and teeth specially formulated with an active combination of neem pomegranate and miswak himalaya complete care mouthwash help provides complete protection to strengthen teeth and gum,https://himalayawellness.in/collections/all/products/complete-care-mouthwash
pilex forte tablet,110.0,the medical answer to surgical problem,https://himalayawellness.in/collections/all/products/pilex
anti dandruff conditioner,90.0,fight dandruff leaf hair soft and smooth himalaya anti dandruff conditioner effectively condition dandruff prone and itchy scalp,https://himalayawellness.in/collections/all/products/anti-dandruff-conditioner
himalaya pure expression kajal,170.0,intensely expressive eye natural black color smudge proof waterproof,https://himalayawellness.in/collections/all/products/himalaya-pure-expression-kajal
himalaya olive extra nourishing cream,235.0,deeply nourishes and restores skin moisture,https://himalayawellness.in/collections/all/products/himalaya-olive-extra-nourishing-cream
himalaya men intense oil clear lemon face wash,189.0,long lasting oil free skin himalaya men intense oil clear lemon face wash ha been specially designed for men skin,https://himalayawellness.in/collections/all/products/himalaya-men-intense-oil-clear-lemon-face-wash
oil clear lemon face wash,235.0,deep clean oily skin himalaya oil clear lemon face wash is soap free formulation that gently clean your face and remove excess oil,https://himalayawellness.in/collections/all/products/oil-clear-lemon-face-wash
evecare capsule,145.0,evecare capsule,https://himalayawellness.in/collections/all/products/evecare-capsules
liv pet,160.0,appetite stimulant and hepatoprotective appetite stimulant natural appetite stimulant that increase appetite in your pet,https://himalayawellness.in/collections/all/products/liv-52-pet
refreshing cleansing milk,95.0,deep clean clarifies and refreshes himalaya refreshing cleansing milk contains special blend of herb along with other cleansing agentgently remove dirt makeup and daily impurity while maintaining your skin natural moisture balance,https://himalayawellness.in/collections/all/products/refreshing-cleansing-milk
liv syrup,100.0,unparalleled in liver care,https://himalayawellness.in/collections/all/products/liv-52-syrup
purifying neem face scrub,80.0,exfoliates and purifies for clear problem free skin himalaya purifying neem face scrub remove impurity and dead skin it also clean excess oil from the skin surface which is one of the root cause of acne,https://himalayawellness.in/collections/all/products/purifying-neem-face-scrub
himalaya men pimple clear neem face wash,180.0,fast and strong action on pimple himalaya men pimple clear neem face wash is soap free formulation that help fight pimple in men,https://himalayawellness.in/collections/all/products/himalaya-men-pimple-clear-neem-face-wash
green tea lemon,70.0,swaad waali sehat waali green tea lemon is delightful combination of green tea sourced from the pristine nilgiris blue hill and refreshing lemon which come together in perfect harmony to add magic to your daily cup of tea this unique blend help you stay active and energized,https://himalayawellness.in/collections/all/products/green-tea-lemon
himalaya mobility plus tablet,445.0,joint and hip supplement,https://himalayawellness.in/collections/all/products/himalaya-mobility-plus-tablets
himalaya heal lip medicated lip balm,50.0,contains active that kill germ moisturize and heal dry lip,https://himalayawellness.in/collections/all/products/himalaya-heal-lip-medicated-lip-balm
himalaya natural glow kesar facial kit,195.0,for naturally glowing and healthy skin,https://himalayawellness.in/collections/all/products/himalaya-natural-glow-kesar-facial-kit
berry shine lip care,160.0,naturally glossy soft and nourished lip himalaya berry shine lip care is luxurious lip balm enriched with natural color and antioxidant such vitamin the berry oil complex rich blend of blackberry cranberry and blueberry seed oil and nourishing ingredient help in caring for and protecting your lip from environmental damage and aid in enhancing natural lip color the lip balm moisture lock formula help keep your lip soft and supple,https://himalayawellness.in/collections/all/products/berry-shine-lip-care
youth eternity under eye cream,525.0,visible reduction in wrinkle puffiness and dark circle himalaya youth eternity under eye cream is breakthrough anti aging formulation derived from plant stem cell research and exotic herbal active,https://himalayawellness.in/collections/all/products/youth-eternity-under-eye-cream
himalaya men face beard wash,189.0,relief beard itchiness refreshes skin sporting beard need special care facial hair grows skin can get itchy and uncomfortable,https://himalayawellness.in/collections/all/products/himalaya-men-face-and-beard-wash
nourishing baby soap,72.0,gentle nourishment for baby sensitive skin himalaya nourishing baby soap contains herbal ingredient developed especially for baby sensitive skin,https://himalayawellness.in/collections/all/products/nourishing-baby-soap
bleminor,190.0,for blemish free skin,https://himalayawellness.in/collections/all/products/bleminor-antiblemish-cream
oro oral rinse,120.0,advanced oral rinse with turmeric power,https://himalayawellness.in/collections/all/products/oro-t-oral-rinse
himpyrin,125.0,himpyrin,https://himalayawellness.in/collections/all/products/himpyrin
purifying neem peel off mask,75.0,remove impurity from skin himalaya purifying neem peel off mask is power packed with neem and turmeric tried and tested herbal combination well known for it antimicrobial and anti inflammatory property,https://himalayawellness.in/collections/all/products/purifying-neem-peel-off-mask
moisturizing aloe vera facial wipe,120.0,gently clean and refreshes skin restores moisture balance himalaya moisturizing aloe vera facial wipe are soft and non alcoholic with gentle formulation that instantly clean and refreshes without drying the skin,https://himalayawellness.in/collections/all/products/moisturizing-aloe-vera-facial-wipes-1
aloe vera refreshing body gel,350.0,moisturizes cool and soothes skin himalaya aloe vera refreshing body gel is formulated with the goodness of aloe vera gel our product moisturizes cool and soothes skin giving fresh soft supple and non oily feel the body gel dermatologically tested is light and non greasy moisturizer for daily use there are no artificial color and the product is free from parabens phthalates and methylisothiazolinone mit you can use it for gentle massage to refresh your skin or to soothe dry irritated or sunburnt skin,https://himalayawellness.in/collections/all/products/aloe-vera-refreshing-body-gel
natural moisturizing lip butter,160.0,soothes hydrate and rejuvenates himalaya natural moisturizing lip butter is luxurious blend of herbal butter that intensely moisturize your lip,https://himalayawellness.in/collections/all/products/natural-moisturizing-lip-butter
anxocare vet tablet,150.0,behavior modifier anxocare control anxiety due to fear and emotional stress,https://himalayawellness.in/collections/all/products/anxocare-vet-tablets
vasaka syrup,130.0,effective respiratory care fact derived from ayurveda text and modern research vasaka soothes bronchial inflammation and open airway help phlegm discharge and relief chest congestion,https://himalayawellness.in/collections/all/products/vasaka-syrup
anti dandruff hair cream,100.0,remove dandruff nourishes scalp himalaya anti dandruff hair cream gently and effectively reduces dandruff while keeping hair nourished and moisturized,https://himalayawellness.in/collections/all/products/anti-dandruff-hair-cream
rumalaya,150.0,rumalaya,https://himalayawellness.in/collections/all/products/rumalaya
fresh start oil clear face wash lemon,145.0,goodbye oily skin hello fresh face himalaya fresh start oil clear lemon face wash is special formulation with the burst of citrusy lemon and the deep cleansing action of natural bead that help remove excess oil dirt and impurity,https://himalayawellness.in/collections/all/products/fresh-start-oil-clear-face-wash-lemon
himalaya baby massage oil mustard,125.0,regular massaging strengthens muscle and enhances growth himalaya baby massage oil mustard is specially formulated with unique combination of oil and rich blend of herb that help nourish and improve skin luster traditionally mustard oil is known to be beneficial in relieving itching and keeping skin disorder at bay regular massage improves blood circulation strengthens muscle and help enhance your baby growth,https://himalayawellness.in/collections/all/products/himalaya-baby-massage-oil-mustard
strawberry shine lip care,160.0,strawberry shine lip care shine with himalaya herbal naturally glossy strawberry shine lip care,https://himalayawellness.in/collections/all/products/strawberry-shine-lip-care
erina ep shampoo,260.0,ectoparasiticidal shampoo powder erina ep control ectoparasite external parasite like tick flea and louse in pet,https://himalayawellness.in/collections/all/products/erina-ep-shampoo
extra moisturizing baby wash,165.0,soothes and moisturizes baby skin himalaya extra moisturizing baby wash is designed to effectively cleanse baby skin and make it softer and smoother,https://himalayawellness.in/collections/all/products/extra-moisturizing-baby-wash
fresh start oil clear face wash blueberry,145.0,goodbye oily skin hello fresh face himalaya fresh start oil clear blueberry face wash is special formulation with the energizing power of luscious blueberry and the deep cleansing action of natural bead that help remove excess oil dirt and impurity,https://himalayawellness.in/collections/all/products/fresh-start-oil-clear-face-wash-blueberry
hiora mouthwash regular,90.0,kill germ tone gum refreshes mouth,https://himalayawellness.in/collections/all/products/hiora-mouth-wash-regular
himalaya youth eternity face serum,699.0,visibly firmer youthful and radiant skin in week clinical study,https://himalayawellness.in/collections/all/products/himalaya-youth-eternity-face-serum
oil clear mud face pack,75.0,deep clean firm and rejuvenates himalaya oil clear mud face pack is unique formulation with the goodness of herb and mineral clay that refreshes and rejuvenates facial skin by absorbing excess oil and removing impurity,https://himalayawellness.in/collections/all/products/oil-clear-mud-face-pack
refreshing fruit pack,150.0,deep clean firm and rejuvenates himalaya refreshing fruit pack blend host of natural fruity ingredient that leave your skin feeling rejuvenated and soft,https://himalayawellness.in/collections/all/products/refreshing-fruit-pack
triphala syrup,130.0,relief constipation fact derived from ayurveda text and modern research triphala provides gentle pro kinetic effect on the bowel and help relieve long standing constipation,https://himalayawellness.in/collections/all/products/triphala-syrup
purifying neem pack,150.0,deep clean purifies for clear problem free skin himalaya purifying neem pack brings together the goodness of neem fuller earth and turmeric which work together to remove excess oil clean clogged pore and help prevent the recurrence of pimple,https://himalayawellness.in/collections/all/products/purifying-neem-pack
healthy pet food adult,360.0,complete and balanced food for dog healthy pet food adult is complete and balanced food with over nutrient vitamin and mineral,https://himalayawellness.in/collections/all/products/healthy-pet-food-adult
dee nausea,45.0,quick dissolve quick relief relief nausea dee nausea help ease nausea due to motion sickness dissolve in second doe not require water quick onset of action start acting in minute,https://himalayawellness.in/collections/all/products/q-dee-nausea
himalaya purehands advanced spray,100.0,disinfectant hand rub kill of germ,https://himalayawellness.in/collections/all/products/himalaya-purehands-advanced-spray
age defying hand cream,180.0,repair and protects for youthful hand himalaya age defying hand cream is unique daily use formula it rejuvenates the skin giving you younger looking hand this non greasy cream is quickly absorbed by the skin,https://himalayawellness.in/collections/all/products/age-defying-hand-cream
himalaya purifying neem face gel,85.0,purifying neem face gel,https://himalayawellness.in/collections/all/products/himalaya-purifying-neem-face-gel
aloe cucumber refreshing body lotion,85.0,cool hydrate and refreshes himalaya aloe cucumber refreshing body lotion is light and cool body lotion that hydrate and refreshes your skin without leaving it sticky,https://himalayawellness.in/collections/all/products/aloe-cucumber-refreshing-body-lotion
himalaya men active sport face wash,189.0,refreshes cool reenergizes india first ever facewash created through an exclusive association with royal challenger bangalore,https://himalayawellness.in/collections/all/products/himalaya-men-active-sport-face-wash
digyton drop,125.0,digestive stimulant and bowel regulator digyton facilitates the secretion of proteolytic amylolytic and lipolytic enzyme that catalyze the digestion of food,https://himalayawellness.in/collections/all/products/digyton-drops
fresh start oil clear face wash strawberry,145.0,goodbye oily skin hello fresh face himalaya fresh start oil clear strawberry face wash is specially formulated with the scintillating goodness of strawberry and the deep cleansing action of natural bead to remove excess oil dirt and impurity,https://himalayawellness.in/collections/all/products/fresh-start-oil-clear-face-wash-strawberry
tulasi syrup,130.0,relief cough and cold fact derived from ayurveda text and modern research tulasi help suppress cough and aid the mobilization of mucus,https://himalayawellness.in/collections/all/products/tulasi-syrup
oxitard,80.0,the natural antioxidant,https://himalayawellness.in/collections/all/products/oxitard
himalaya vegecort cream,100.0,for eczema relief,https://himalayawellness.in/collections/all/products/himalaya-vegecort-cream
peach shine lip care,150.0,naturally glossy soft and rejuvenated lip shine with himalaya herbal naturally glossy peach shine lip care our luxurious lip balm moisturizes your lip to keep them soft and supple,https://himalayawellness.in/collections/all/products/peach-shine-lip-care
erina ep powder,190.0,ectoparasiticidal shampoo powder erina ep control ectoparasite external parasite like tick flea and louse in pet,https://himalayawellness.in/collections/all/products/erina-ep-powder
gentle exfoliating apricot face scrub,80.0,remove dead skin cell blackhead nourishes skin himalaya gentle exfoliating apricot scrub exfoliates dead skin cell and blackhead and unclogs pore it also deep clean facial skin to keep skin soft and glowing,https://himalayawellness.in/collections/all/products/gentle-exfoliating-apricot-scrub
baby diaper,130.0,the bottom line on diaper himalaya baby diaper have unique soft easy to fit design specially designed to provide the greatest comfort and care to your baby,https://himalayawellness.in/collections/all/products/baby-diapers
evecare syrup,240.0,evecare syrup,https://himalayawellness.in/collections/all/products/evecare-syrup
freshcoat,230.0,no rinse spray for pet bad odour is unwelcome anywhere especially for pet,https://himalayawellness.in/collections/all/products/freshcoat
koflet ex linctus,90.0,expectorant mucolytic in wet cough and bronchitis koflet ex linctus is safe and effective phytopharmaceutical expectorant formulation which relief productive cough,https://himalayawellness.in/collections/all/products/koflet-ex-linctus
gentle daily care protein shampoo ml,490.0,clean gently make hair healthy himalaya gentle daily care protein shampoo ha mild formulation for those who lead an active life requiring frequent shampooing,https://himalayawellness.in/collections/all/products/gentle-daily-care-protein-shampoo-700ml
litchi shine lip care,160.0,naturally glossy soft and younger looking lip shine with himalaya herbal naturally glossy litchi shine lip care our luxurious lip balm moisturizes your lip to keep them soft and supple,https://himalayawellness.in/collections/all/products/litchi-shine-lip-care
furglow,500.0,oral coat conditioner furglow contains plant derived oil that are rich in omega and omega fatty acid,https://himalayawellness.in/collections/all/products/furglow
himalaya soothing calamine baby lotion,175.0,effective relief from skin rash himalaya soothing calamine baby lotion contains herbal ingredient that protect baby skin from itching and rash due to allergic reaction insect bite chicken pox or prickly heat,https://himalayawellness.in/collections/all/products/himalaya-soothing-calamine-baby-lotion
hiora ga gel,65.0,gum astringent gel,https://himalayawellness.in/collections/all/products/hiora-ga-gel
protein hair cream,100.0,nourishes hair keep hair healthy natural hair cream full of goodness himalaya protein hair cream nourishes the hair with it special formulated ingredient it help strengthen hair and leave your hair soft and shiny,https://himalayawellness.in/collections/all/products/protein-hair-cream
healthy pet food puppy,800.0,complete and balanced food for puppy healthy pet food puppy is complete and balanced food with over nutrient vitamin and mineral,https://himalayawellness.in/collections/all/products/healthy-pet-food-puppy
himalaya active fresh saunf mouthwash,115.0,the freshness of saunf and long lasting fresh breath no alcohol no burning sensation himalaya active fresh saunf mouthwash is infused with the goodness of saunf and menthol it prevents the buildup of plaque and mouth odor to provide healthier gum and fresh breath it remove up to of bacteria and give up to hour of protection from germ based on in vitro laboratory study,https://himalayawellness.in/collections/all/products/himalaya-active-fresh-saunf-mouthwash
happy baby gift pack in,1205.0,grandchild niece nephew or friend bundle of joy baby have their own beautiful way of bringing happiness into your world,https://himalayawellness.in/collections/all/products/happy-baby-gift-pack-mega-basket-various
purifying neem foaming face wash,235.0,purifies and clean all skin type himalaya purifying neem foaming face wash developed after extensive research is combination of neem and turmeric,https://himalayawellness.in/collections/all/products/purifying-neem-foaming-face-wash
nipple care butter,80.0,soothe heal and protect dry cracked and sore nipple soothe your nipple with himalaya for mom nipple care butter packed with the goodness of natural oil and butter,https://himalayawellness.in/collections/all/products/nipple-care-butter
gel,90.0,quells infection relief symptom the antimicrobial antibacterial and antifungal property of gel effectively combat the organism responsible for vaginitis,https://himalayawellness.in/collections/all/products/v-gel
platenza tablet,100.0,carica papaya complex with bioenhancer for low platelet content platenza boost platelet count and revers the thrombocytopenia low platelet count,https://himalayawellness.in/collections/all/products/platenza-tablets
himalaya erina puppy shampoo conditioner,300.0,for fresh clean and healthy coat for puppy,https://himalayawellness.in/collections/all/products/himalaya-erina-puppy-shampoo-conditioner
crème cleansing baby bar,150.0,gentle care for newborn and baby with sensitive skin himalaya crème cleansing baby bar is mild and gentle cleansing bar for baby which is formulated with skin friendly ph of to ensure that baby delicate skin remains healthy it consists of blend of herb oil butter complex that help lock in moisture and keep baby skin soft smooth and moisturized,https://himalayawellness.in/collections/all/products/creme-cleansing-baby-bar
erina coat cleanser,450.0,coat cleanser erina prevents the formation of dandruff on your pet skin and hair coat,https://himalayawellness.in/collections/all/products/erina-coat-cleanser
mentat syrup,175.0,channelizes mental energy,https://himalayawellness.in/collections/all/products/mentat-syrup
neem syrup,120.0,control acne fact derived from ayurveda text and modern research the herb help alleviate skin inflammation induced by acne causing bacteria,https://himalayawellness.in/collections/all/products/neem-syrup
diarex,80.0,the dependable antidiarrheal,https://himalayawellness.in/collections/all/products/diarex
fresh start oil clear face wash peach,80.0,goodbye oily skin hello fresh face himalaya fresh start oil clear peach face wash is specially formulated with the peppy freshness of peach and the deep cleansing action of natural bead that help remove excess oil dirt and impurity,https://himalayawellness.in/collections/all/products/fresh-start-oil-clear-face-wash-peach
rich cocoa butter lip care,160.0,repair heals and intensely moisturizes lip indulge your lip with himalaya herbal intensely moisturizing rich cocoa butter lip care our luxurious lip balm moisturizes your lip to keep them soft and supple,https://himalayawellness.in/collections/all/products/rich-cocoa-butter-lip-care
healthy treat adult,180.0,dog treat with health benefit the herbal active in healthy treat provide health benefit for adult dog,https://himalayawellness.in/collections/all/products/healthy-treats-adult
hiora pain gel,55.0,rapid relief from toothache relief toothache in minute easy to squeeze tube for convenience,https://himalayawellness.in/collections/all/products/hiora-pain-gel
erina plus coat cleanser with conditioner,300.0,coat cleanser with conditioner erina plus promotes shiny texture and smooth hair coat and prevents the matting of hair,https://himalayawellness.in/collections/all/products/erina-plus-coat-cleanser-with-conditioner
althea lotion,160.0,intense moisturizer for dry skin action althea is topical formulation recommended for the management of xerosis abnormal dryness of skin,https://himalayawellness.in/collections/all/products/althea-lotion
hiora sg gel,65.0,the healing stoma gel,https://himalayawellness.in/collections/all/products/hiora-sg-gel
lukol,150.0,lukol,https://himalayawellness.in/collections/all/products/lukol
purifying neem facial wipe,120.0,remove impurity purifies for clear problem free skin himalaya purifying neem facial wipe are soft and non alcoholic with gentle formulation that mildly clean skin to keep it clean and healthy,https://himalayawellness.in/collections/all/products/purifying-neem-facial-wipes
himalaya makeup removal tangerine facial wipe,50.0,remove makeup and waterproof mascara,https://himalayawellness.in/collections/all/products/himalaya-makeup-removal-tangerine-facial-wipes
anti hair fall shampoo ml,599.0,reduces hair fall make hair healthy himalaya anti hair fall shampoo is breakthrough in formula that help reduces hair fall and provides nourishment to hair,https://himalayawellness.in/collections/all/products/anti-hair-fall-shampoo-700ml
