title,price,description,url
happy baby gift pack in,550.0,grandchild niece nephew or friend bundle of joy baby have their own beautiful way of bringing happiness into your world,https://himalayawellness.in/collections/all/products/happy-baby-gift-pack
bresol syrup,150.0,the breathing solution,https://himalayawellness.in/collections/all/products/bresol-syrup
brahmi syrup,120.0,improves alertness fact derived from ayurveda text and modern research brahmi help calm the mind promote clarity of thought and memory consolidation,https://himalayawellness.in/collections/all/products/brahmi-syrup
koflet sf linctus,95.0,the sugar free cough linctus,https://himalayawellness.in/collections/all/products/koflet-sf-linctus
refreshing baby wash,165.0,keep baby skin cool and fresh himalaya refreshing baby wash ha ingredient with cooling refreshing and antibacterial property clean and refreshes your baby skin,https://himalayawellness.in/collections/all/products/refreshing-baby-wash
immusante tablet,100.0,broad spectrum immunotherapeutic support,https://himalayawellness.in/collections/all/products/immusante-tablets
himalaya purifying neem micellar water,125.0,clean for clear skin remove waterproof makeup,https://himalayawellness.in/collections/all/products/himalaya-purifying-neem-micellar-water
himcal pet,150.0,natural calcium and phosphorus supplement himcal pet contains calcium and phosphorus derived from oyster shell,https://himalayawellness.in/collections/all/products/himcal-pet
natural soft vanilla lip care,160.0,softens nourishes and smoothens lip care for your lip with himalaya herbal daily moisturizing natural soft vanilla lip care our luxurious lip balm moisturizes your lip to keep them soft and supple,https://himalayawellness.in/collections/all/products/natural-soft-vanilla-lip-care
liv syrup,150.0,unparalleled in liver care,https://himalayawellness.in/collections/all/products/liv-52-ds-syrup
moisturizing cucumber peel off mask,75.0,remove dead skin cell brightens skin packed with the goodness of cucumber almond and turmeric himalaya moisturizing cucumber peel off mask remove dead skin,https://himalayawellness.in/collections/all/products/moisturizing-cucumber-peel-of-mask
prickly heat baby powder,90.0,ditch the itch himalaya prickly heat baby powder provides relief from prickly heat and keep baby fresh cool and happy,https://himalayawellness.in/collections/all/products/prickly-heat-baby-powder
nefrotec vet tablet,160.0,diuretic and urinary antiseptic nefrotec prevents the recurrence of urinary tract infection because of it antiseptic property,https://himalayawellness.in/collections/all/products/nefrotec-ds-vet-tablets
himalaya baby gift pack in,390.0,grandchild niece nephew or friend bundle of joy baby have their own beautiful way of bringing happiness into your world,https://himalayawellness.in/collections/all/products/himalaya-baby-gift-pack-5-in-1
himalaya pure hand tulsi lemon deep cleansing hand wipe,110.0,99 germ protection anytime anywhere,https://himalayawellness.in/collections/all/products/himalaya-pure-hands-tulsi-lemon-deep-cleansing-hand-wipes
himalaya natural glow rose micellar water,125.0,clean for radiant skin remove waterproof makeup,https://himalayawellness.in/collections/all/products/himalaya-natural-glow-rose-micellar-water
renalka syrup,80.0,the coolant of the urinary tract,https://himalayawellness.in/collections/all/products/renalka-syrup
talekt syrup,110.0,new advance in derma care,https://himalayawellness.in/collections/all/products/talekt-syrup
shatavari syrup,120.0,promotes lactation fact derived from ayurveda text and modern research shatavari support lactating mother by improving prolactin hormone level ensuring optimum breastfeeding,https://himalayawellness.in/collections/all/products/shatavari-syrup
cystone forte,110.0,cystone forte,https://himalayawellness.in/collections/all/products/cystone-forte
immunol,135.0,immunomodulator and phagocytosis enhancer enhances your pet immunity and fight pathogen,https://himalayawellness.in/collections/all/products/immunol
bonnisan liquid,100.0,keep baby healthy and happy bonnisan offer relief from common digestive complaint reduces colic improves appetite and support digestion thereby promoting healthy growth,https://himalayawellness.in/collections/all/products/bonnisan-liquid
oil clear lemon foaming face wash,235.0,remove excess oil himalaya oil clear lemon foaming face wash is soap free formulation that gently clean your face and remove excess oil,https://himalayawellness.in/collections/all/products/oil-clear-lemon-foaming-face-wash
menosan,165.0,help her glow again menosan posse phytoestrogens which act natural selective estrogen receptor modulators serms,https://himalayawellness.in/collections/all/products/menosan
himalaya baby gift basket in,775.0,grandchild niece nephew or friend bundle of joy baby have their own beautiful way of bringing happiness into your world,https://himalayawellness.in/collections/all/products/himalaya-baby-gift-basket-7-in-1
healthy treat puppy,215.0,dog treat with health benefit the herbal active in healthy treat provide health benefit for puppy,https://himalayawellness.in/collections/all/products/healthy-treats-puppy
lukol syrup,140.0,lukol syrup,https://himalayawellness.in/collections/all/products/lukol-syrup
pure skin neem facial kit,200.0,provides pure and healthy skin get the goodness of neem fuller earth and turmeric cleanse exfoliate and purify with pure skin neem facial kit step facial care regimen for pure and healthy skin step of facial to follow at home himalaya purifying neem face wash himalaya purifying neem face scrub himalaya purifying neem face pack,https://himalayawellness.in/collections/all/products/pure-skin-neem-facial-kit
platenza syrup,175.0,carica papaya complex with bioenhancer for low platelet count platenza boost platelet count and revers thrombocytopenia low platelet count,https://himalayawellness.in/collections/all/products/platenza-syrup
himalaya germ free liquid cleanser,350.0,clean remove germ stain and odor effectively from baby feeding accessory and toy 99 germ protection basis invitro lab study on indicative organism,https://himalayawellness.in/collections/all/products/himalaya-germ-free-liquid-cleanser
himalaya happy baby gift pack free teddy bear,1001.0,happy baby gift basket come with eight babycare product and free teddy bear infused with the goodness of herb himalaya babycare product are developed with the perfect synergy of ayurveda and modern science to provide gentle safe and researched care for your baby baby powder baby hair oil ml refreshing baby soap refreshing baby lotion ml gentle baby shampoo ml gentle baby wipe baby massage oil ml teddy bear free inside,https://himalayawellness.in/collections/all/products/himalaya-happy-baby-gift-pack-8n-free-teddy-bear
diarex syrup,70.0,the dependable antidiarrheal,https://himalayawellness.in/collections/all/products/diarex-syrup
himalaya moisturizing aloe vera micellar water,125.0,clean for soft skin remove waterproof makeup,https://himalayawellness.in/collections/all/products/himalaya-moisturizing-aloe-vera-micellar-water
geriforte syrup,140.0,rejuvenates both body mind,https://himalayawellness.in/collections/all/products/geriforte-syrup
styplon,110.0,the natural styptic,https://himalayawellness.in/collections/all/products/styplon
cystone syrup,175.0,cystone syrup,https://himalayawellness.in/collections/all/products/cystone-syrup
sun protect orange lip care,175.0,nourishes and soothes lip shield against harmful uv ray himalaya sun protect orange lip care with spf and pa protection against uva ray protects your lip from sun damage,https://himalayawellness.in/collections/all/products/sun-protect-orange-lip-care
evecare forte,185.0,evecare forte,https://himalayawellness.in/collections/all/products/evecare-forte
himalaya pure skin neem facial kit,825.0,provides pure and healthy skin step facial care regimen for pure and healthy skin step of facial to follow at home cleanse deep cleanse exfoliate tone purify and moisturize your skin with himalaya pure skin neem facial massager kit himalaya purifying neem face wash himalaya refreshing cleansing milk himalaya purifying neem face scrub himalaya refreshing clarifying toner himalaya purifying neem face pack himalaya nourishing face moisturizing lotion,https://himalayawellness.in/collections/all/products/himalaya-pure-skin-neem-facial-kit
green tea tulasi,135.0,swaad waali sehat waali green tea tulasi is delightful combination of green tea sourced from the pristine nilgiris blue hill and healing tulasi which come together in perfect harmony to add magic to your daily cup of tea this unique blend support immunity and promotes good health,https://himalayawellness.in/collections/all/products/green-tea-tulasi
himalaya adult diaper,550.0,live confident live happy himalaya adult diaper are unique soft and easy to fit adult diaper with natural odor lock the diaper is specially formulated to provide the greatest comfort and care for adult with various condition like incontinence mobility impairment severe diarrhea and who are traveling long distance,https://himalayawellness.in/collections/all/products/himalaya-adult-diapers
himalaya pure hand tulsi aloe moisturizing hand wipe,110.0,99 germ protection anytime anywhere,https://himalayawellness.in/collections/all/products/himalaya-pure-hands-tulsi-aloe-moisturizing-hand-wipes
bonnisan drop,65.0,keep baby healthy and happy bonnisan offer relief from common digestive complaint reduces colic improves appetite and support digestion thereby promoting healthy growth,https://himalayawellness.in/collections/all/products/bonnisan-drops
bonnispaz drop,50.0,change colic to frolic in minute,https://himalayawellness.in/collections/all/products/bonnispaz-drops
trikatu syrup,140.0,relief indigestion fact derived from ayurveda text and modern research the active constituent present in trikatu piperine and gingerol stimulate digestive enzyme responsible for healthy digestion,https://himalayawellness.in/collections/all/products/trikatu-syrup
styplon vet bolus,55.0,rapid acting styptic control bleeding and stimulates hemopoietic organ,https://himalayawellness.in/collections/all/products/styplon-vet
evecare forte tablet,55.0,himalaya evecare forte tablet is polyherbal formulation,https://himalayawellness.in/collections/all/products/evecare-forte-tablets
cystone sf,150.0,cystone sf is sugar free solution that lower the risk of recurrent infection by reducing multiplication and adherence of urinary pathogen facilitating expulsion along with the urine flow,https://himalayawellness.in/collections/all/products/cystone-sf
himalaya pure hand tulsi purifying hand wipe,110.0,99 germ protection anytime anywhere,https://himalayawellness.in/collections/all/products/himalaya-pure-hands-tulsi-purifying-hand-wipes
anti dandruff shampoo ml,510.0,fight dandruff make hair healthy himalaya anti dandruff shampoo effectively fight dandruff and provides nourishment to the hair,https://himalayawellness.in/collections/all/products/anti-dandruff-shampoo-700ml
liv drop,125.0,unparalleled in liver care the natural ingredient in liv exhibit potent hepatoprotective property against infective hepatitis,https://himalayawellness.in/collections/all/products/liv-52-drops
himalaya active fresh miswak mouthwash,115.0,for healthy gum no alcohol no burning sensation himalaya active fresh miswak mouthwash is an advanced herbal formulation with the goodness of miswak and menthol it prevents plaque buildup and mouth odor for healthy gum strong teeth and long lasting fresh breath naturally,https://himalayawellness.in/collections/all/products/himalaya-active-fresh-miswak-mouthwash
yashtimadhu,180.0,relief acidity fact derived from ayurveda text and modern research yashtimadhu accelerates the healing of gastric and duodenal ulcer by relieving inflammation and producing protective mucus for the stomach lining,https://himalayawellness.in/collections/all/products/yashtimadhu
nourishing face moisturizing lotion,100.0,nourishes moisturizes protects himalaya nourishing face moisturizing lotion help you retain lost moisture and nourishment due to the skin frequent exposure to environmental extreme pollution and chemical,https://himalayawellness.in/collections/all/products/nourishing-face-moisturizing-lotion
anti hair fall conditioner,90.0,reduces excess hair fall leaf hair soft and smooth himalaya anti hair fall conditioner nourishes and improves the texture of hair making it smooth soft and healthy,https://himalayawellness.in/collections/all/products/anti-hair-fall-conditioner
himalaya men power glow licorice face wash,85.0,for visibly fairer and brighter skin himalaya men power glow licorice face wash is soap free formula that gently clean the face,https://himalayawellness.in/collections/all/products/himalaya-men-power-glow-licorice-face-wash
pain relief oil,110.0,relief bodyache and pain enriched with sweet flag drumstick and cedar tree extract,https://himalayawellness.in/collections/all/products/pain-relief-oil
pure home sanitizing floor cleaner lemongrass,215.0,eliminates 99 germ basis invitro lab study on indicative organism,https://himalayawellness.in/collections/all/products/pure-homes-sanitizing-floor-cleaner-lemongrass
hairzone solution,275.0,prevents hair fall promotes hair growth,https://himalayawellness.in/collections/all/products/hairzone-solution
geriforte,155.0,rejuvenates both body mind,https://himalayawellness.in/collections/all/products/geriforte
clarina anti acne face wash gel,110.0,clean skin control acne,https://himalayawellness.in/collections/all/products/clarina-anti-acne-face-wash-gel
haridra,200.0,relief allergy,https://himalayawellness.in/collections/all/products/haridra
mentat syrup,140.0,channelizes mental energy,https://himalayawellness.in/collections/all/products/mentat-ds-syrup
green tea,135.0,swaad waali sehat waali greentea is potent antioxidant which build the body immunity and ha anticarcinogenic property,https://himalayawellness.in/collections/all/products/greentea
hiora mouthwash,80.0,for sensitive teeth and halitosis,https://himalayawellness.in/collections/all/products/hiora-k-mouth-wash
soothing body butter cream,310.0,intense moisturization with soothing aroma give your skin the intensive moisturizing nourishment of himalaya for mom soothing body butter,https://himalayawellness.in/collections/all/products/soothing-body-butter-cream
tagara,190.0,promotes restful sleep fact derived from ayurveda text and modern research tagara calm the mind by interfering with brain chemical gaba that communicate information between the nerve cell in the brain,https://himalayawellness.in/collections/all/products/tagara
dryness defense detangler conditioner,90.0,deep condition and detangles hair himalaya dryness defense detangler conditioner is specially formulated for dry frizzy and tangled hair,https://himalayawellness.in/collections/all/products/dryness-defense-detangler-conditioner
liv hb,160.0,effective management of hepatitis,https://himalayawellness.in/collections/all/products/liv-52-hb
scavon vet spray,155.0,topical antimicrobial himalaya scavon vet spray is an anti infective broad spectrum antimicrobial and antibacterial wound healer that promotes wound healing by rapid collagenization and epithelialization of tissue,https://himalayawellness.in/collections/all/products/scavon-vet-spray
soothing body lotion,150.0,hydra nutri balance himalaya soothing body lotion is silky lightweight and non greasy body lotion that combine all the goodness of naturally derived ingredient to soothe and moisturize your skin making it look noticeably softer and smoother,https://himalayawellness.in/collections/all/products/soothing-body-lotion
oil free radiance gel cream,260.0,gently hydrate for an oil free glow himalaya oil free radiance gel cream is light and non greasy daily use gel cream that gently hydrate to give an oil free radiance,https://himalayawellness.in/collections/all/products/oil-free-radiance-gel-cream
pure home all purpose germ kill spray,89.0,kill illness causing virus bacteria and fungi basis invitro lab study on indicative organism kill 99 of germ,https://himalayawellness.in/collections/all/products/pure-homes-all-purpose-germ-kill-spray
diabecon,200.0,diabecon,https://himalayawellness.in/collections/all/products/diabecon-ds
newborn total care baby pant,650.0,comfort protection and total care of baby skin himalaya newborn total care baby pant are specially designed to provide the greatest comfort and care to newborn baby backed with scientific research and infused with the goodness of natural ingredient himalaya newborn total care baby pant come in an easy to wear pant style design that offer soft and comfortable fit and are easy to pull on and off,https://himalayawellness.in/collections/all/products/newborn-total-care-baby-pants
himalaya pure hand tulsi purifying hand wash ml,230.0,purifies keep hand clean and healthy himalaya pure hand tulsi purifying hand wash is enriched with the goodness of tulsi,https://himalayawellness.in/collections/all/products/himalaya-pure-hands-tulsi-purifying-hand-wash-750ml-x-2
pure home sanitizing floor cleaner herbal green,180.0,eliminates 99 germ basis invitro lab study on indicative organism,https://himalayawellness.in/collections/all/products/pure-homes-sanitizing-floor-cleaner-herbal-green
pure home sanitizing floor cleaner pine,180.0,eliminates 99 germ basis invitro lab study on indicative organism,https://himalayawellness.in/collections/all/products/pure-homes-sanitizing-floor-cleaner-pine
intimate wash,120.0,gently clean and refreshes prevents odor and irritation specially formulated for woman during and after pregnancy himalaya for mom intimate wash gently clean the intimate area and help maintain freshness,https://himalayawellness.in/collections/all/products/intimate-wash
soothing baby wipe,200.0,soothes skin and relaxes baby combining the unique benefit of lavender aloe vera almond oil five leaved chaste tree and indian madder himalaya soothing baby wipe are designed to soothe moisturize and protect the skin while also calming your baby,https://himalayawellness.in/collections/all/products/soothing-baby-wipes
dryness defense protein shampoo,130.0,fight dryness make hair healthy himalaya dryness defense protein shampoo is power packed with active nourishment technology enriched with herb known to posse natural protein help provides necessary nourishment to keep hair soft shiny and manageable,https://himalayawellness.in/collections/all/products/dryness-defense-protein-shampoo
anti rash cream,70.0,effectively heals rash relief itching get relief from pregnancy skin rash with himalaya for mom anti rash cream formulation with the goodness of herb that effectively reduces itching and rash and gently soothes the skin,https://himalayawellness.in/collections/all/products/anti-rash-cream
ayurslim tea,99.0,help maintain healthy body weight,https://himalayawellness.in/collections/all/products/ayurslim-tea
babycare gift pack oil soap lotion,233.0,infused with the goodness of herb himalaya babycare product are developed with the perfect synergy of ayurveda and modern science to provide gentle safe and researched care for your baby,https://himalayawellness.in/collections/all/products/babycare-gift-pack-oil-soap-lotion
diabecon,140.0,diabecon,https://himalayawellness.in/collections/all/products/diabecon
himcospaz,40.0,the breakthrough antispasmodic,https://himalayawellness.in/collections/all/products/himcospaz
sensitive toothpaste,115.0,rapid and lasting relief from sensitivity himalaya sensitive toothpaste is polyherbal formulation that give you rapid and lasting relief from tooth sensitivity,https://himalayawellness.in/collections/all/products/sensitive-toothpaste
toning massage oil,195.0,tone and firm skin relief stress and pain massage is an effective and proven remedy to stimulate blood circulation relieve stress and help your body recover post pregnancy,https://himalayawellness.in/collections/all/products/toning-massage-oil
stretch mark oil,250.0,help reduce the appearance of stretch mark sagging skin and itching due to dryness himalaya for mom stretch mark oil is an advanced herb oil formula with ingredient safe to be used during and after pregnancy,https://himalayawellness.in/collections/all/products/stretch-mark-oil
stretch mark cream,150.0,help reduce the appearance of stretch mark sagging skin and itching due to dryness himalaya for mom stretch mark cream is an advanced herb oil butter formula with ingredient safe to be used during and post pregnancy,https://himalayawellness.in/collections/all/products/stretch-mark-cream
moisture rich rose soap,70.0,himalaya for mom moisture rich rose soap is specially formulated for mother enriched with herbal active and an uplifting fragrance to help maintain skin hygiene during pregnancy,https://himalayawellness.in/collections/all/products/moisture-rich-rose-soap
moisture rich jasmine soap,70.0,himalaya for mom moisture rich jasmine soap is specially formulated for mother enriched with herbal active and an uplifting fragrance to help maintain skin hygiene during pregnancy,https://himalayawellness.in/collections/all/products/moisture-rich-jasmine-soap
appetonic forte vet powder,20.0,rumenorestorative and digestive tonic appetonic forte vet restores disturbed ruminal motility and corrects ruminal dysfunction it also normalizes ruminal ph,https://himalayawellness.in/collections/all/products/appetonic-forte-vet
appetonic vet bolus powder,33.0,rumenorestorative and digestive tonic appetonic forte vet restores disturbed ruminal motility and corrects ruminal dysfunction it also normalizes ruminal ph,https://himalayawellness.in/collections/all/products/appetonic-vet
yuccafresh,1300.0,natural ammonia binder,https://himalayawellness.in/collections/all/products/yucca-fresh
diarex vet bolus,38.0,anti diarrheal diarex vet is helpful in controlling diarrhea of varied etiology,https://himalayawellness.in/collections/all/products/diarex-vet
galactin vet bolus,33.0,galactagogue galactin vet act galactagouge promotes lactation by facilitating the proliferation and activity of alveolus,https://himalayawellness.in/collections/all/products/galactin-vet
himalaya geriforte vet,1270.0,immunomodulator antistress and adaptogenic with phytoantioxidants,https://himalayawellness.in/collections/all/products/geriforte-vet
speman forte vet,1200.0,speman forte vet,https://himalayawellness.in/collections/all/products/speman-forte-vet
pulmoboost,350.0,for healthy airway in bird it give bird symptomatic relief from respiratory disease and respiratory distress caused by various factor,https://himalayawellness.in/collections/all/products/pulmo-boost
phytogrow,8500.0,next generation gut health promoter himalaya phytogrow is an extensively researched product to improve the performance of poultry and other monogastric animal by ensuring gut health and digestibility,https://himalayawellness.in/collections/all/products/phyto-grow
nefrotac vet,300.0,three leaved caper varuna is helpful in treating urinary tract disorder it flush out uric acid crystal from the urinary tract,https://himalayawellness.in/collections/all/products/nefrotec-vet
liv vet bolus powder,44.0,hepatoprotective and appetite stimulant liv vet is an appetite stimulant that increase and restores appetite in animal,https://himalayawellness.in/collections/all/products/liv-52-vet
liv protec poultry,105.0,hepatoprotective hepatoprotective liv protec protects the liver from the damage caused by various toxin and drug,https://himalayawellness.in/collections/all/products/liv-52-protec-poultry
liv protec pfs,250.0,production enhancer and hepatostimulant for poultry it maintains the intestinal integrity and aid in faster recovery from illness that cause damage to the gastrointestinal system like coccidiosis and toxin,https://himalayawellness.in/collections/all/products/liv52-protec-pfs
liv protec liquid,285.0,production enhancer and hepatic stimulant himalaya liv protec liquid help improve milk yield and is hepatic stimulant and growth promoter it help in better feed utilization thus promoting proper growth and development of young animal and improving milk production in lactating animal,https://himalayawellness.in/collections/all/products/liv-52-protec-liquid
himalaya liv 52® protec binding gel powder,6000.0,hepatopancreatic stimulant and growth promoter,https://himalayawellness.in/collections/all/products/liv-52-protec
inflamin vet cream,140.0,topical anti inflammatory cream for mastitis anti inflammatory an anti inflammatory inflamin vet prevents the release of inflammatory mediator in animal,https://himalayawellness.in/collections/all/products/inflamin-vet
himtox,1900.0,toxin binder himtox contains dipolar hscas and bentonite which bind with wide range of toxin like all type of aflatoxin fusarium toxin and penicillium toxin,https://himalayawellness.in/collections/all/products/himtox
himalaya himshakti,355.0,instant and sustained energy supplement energizes the animal and support faster recovery,https://himalayawellness.in/collections/all/products/himshakti
himrop vet,170.0,uterine cleanser and ecbolic completely expels placenta and clean the uterus by antibacterial and antifungal activity,https://himalayawellness.in/collections/all/products/himrop-vet
him methio,3600.0,natural alternative to methionine methionine is an essential amino acid that cannot be synthesized in the body but must be obtained from dietary source,https://himalayawellness.in/collections/all/products/him-methio
himfertin vet,41.0,the two way heat inducer help in the development of estrus in animal by correcting hormonal imbalance and supplementing micronutrient,https://himalayawellness.in/collections/all/products/himfertin-vet
himalaya himchelate,300.0,chelated mineral and vitamin supplement fortified with herb take care of body metabolism that optimizes production and reproduction help reduce fertility problem especially stress and immunity problem,https://himalayawellness.in/collections/all/products/himchelate
himalaya himbloat liquid,65.0,rapid acting anti bloat for the treatment of gaseous distension bloat in ruminant it not only treat bloating but also normalizes disturbed digestive process by stimulating the release of various enzyme,https://himalayawellness.in/collections/all/products/himbloat
himcal,170.0,rapid acting anti bloat for treatment of gaseous distension bloat in ruminant it not only treat bloating but also normalizes disturbed digestive process by stimulating the release of various enzyme,https://himalayawellness.in/collections/all/products/himcal
himalaya him,750.0,alternative for vitamin him is unique formula of herbal active with antistress adaptogenic and immunomodulatory activity fortified with electrolyte,https://himalayawellness.in/collections/all/products/him-c
himalaya purehands advanced,250.0,disinfectant hand rub bactericidal fungicidal virucidal,https://himalayawellness.in/collections/all/products/himalaya-purehands-advanced
himalaya men natural bright oil control face gel cream,130.0,for an oil free brighter look all day long himalaya men natural bright oil control face gel cream is non greasy formula specially designed for men with oily skin,https://himalayawellness.in/collections/all/products/himalaya-men-natural-bright-oil-control-face-gel-cream
himalaya men natural bright face cream,130.0,for visibly brighter look all day long himalaya men natural bright face cream is unique blend of herbal active specially designed for men skin,https://himalayawellness.in/collections/all/products/himalaya-men-natural-bright-face-cream
pure hands® tulsi soap,35.0,kill of illness causing germ bathing soap fortified with pure tulsi extract,https://himalayawellness.in/collections/all/products/pure-hands-tulsi-soap
himalaya men anti hair fall hair cream,80.0,invest in your hair it the crown you never take off anti hair fall hair cream for men key ingredient bhringaraja and amla,https://himalayawellness.in/collections/all/products/himalaya-men-anti-hair-fall-hair-cream
himalaya men daily nourish hair cream,80.0,invest in your hair it the crown you never take off daily nourish hair cream for men key ingredient almond oil and argan oil,https://himalayawellness.in/collections/all/products/himalaya-men-daily-nourish-hair-cream
himalaya men anti dandruff hair cream,80.0,invest in your hair it the crown you never take off anti dandruff hair cream for men key ingredient tea tree oil and neem oil,https://himalayawellness.in/collections/all/products/himalaya-men-anti-dandruff-hair-cream
jumbo gentle baby wipe,126.0,anytime anywhere cleansing for your baby quick cleansing with just one wipe alcohol free superior wipe to gently cleanse baby skin,https://himalayawellness.in/collections/all/products/jumbo-gentle-baby-wipes
himalaya tan removal orange facial kit,195.0,reveals healthy glowing skin himalaya tan removal orange facial kit diy step facial kit himalaya tan removal orange facial kit is step diy facial kit which help in clearing skin tan and revealing healthy glowing skin this facial kit consists of three product himalaya tan removal orange face wash himalaya tan removal orange face scrub himalaya tan removal orange peel off mask,https://himalayawellness.in/collections/all/products/himalaya-tan-removal-orange-facial-kit
stretch mark care,450.0,with advanced herb oil butter complex help reduce the appearance of stretch mark sagging skin and itching due to dryness,https://himalayawellness.in/collections/all/products/stretch-mark-care
himalaya colour protect shampoo,280.0,prevents early fading make hair healthy,https://himalayawellness.in/collections/all/products/himalaya-color-protect-shampoo
vegetable fruit cleanser,120.0,protect your family health and enjoy fresh and nutritious vegetable and fruit wash away up to of germ leaf no smell color or taste,https://himalayawellness.in/collections/all/products/vegetable-fruit-cleanser
poultry fish cleanser,140.0,protect your family health and enjoy your special meal by eating fresh clean and safe meat and fish wash away up to of germ leaf no smell color or taste,https://himalayawellness.in/collections/all/products/poultry-fish-cleanser
himalaya natural glow rose face gel,85.0,look beautiful glow naturally,https://himalayawellness.in/collections/all/products/himalaya-natural-glow-rose-face-gel
pure home sanitizing kitchen cleaner,90.0,remove tough stain grease and grime eliminates 99 of germ basis invitro lab study on indicative organism,https://himalayawellness.in/collections/all/products/pure-homes-sanitizing-kitchen-cleaner
dee indigestion,40.0,quick dissolve quick relief relief symptom of indigestion on the go dee indigestion is special dosage form designed to quickly dissolve in the mouth without requiring water within few second it help relieve the symptom of indigestion such loss of appetite abdominal bloating abdominal discomfort and flatulence dissolve in second doe not require water quick onset of action start acting in minute,https://himalayawellness.in/collections/all/products/q-dee-indigestion
himalaya men anti dandruff styling gel,155.0,strong hold,https://himalayawellness.in/collections/all/products/himalaya-men-anti-dandruff-styling-gel
himalaya men anti hair fall styling gel,155.0,strong hold,https://himalayawellness.in/collections/all/products/himalaya-men-anti-hair-fall-styling-gel
himalaya men daily nourish styling gel,155.0,strong hold,https://himalayawellness.in/collections/all/products/himalaya-men-daily-nourish-styling-gel
himalaya men skin protect shaving gel,79.0,himalaya men skin protect shaving gel,https://himalayawellness.in/collections/all/products/himalaya-men-skin-protect-shaving-gel
him aqua powder,750.0,aqua feed supplement stress buster,https://himalayawellness.in/collections/all/products/him-c-aqua-powder
pondshieldtm powder,2800.0,aqua feed supplement probiotic blend with phytoactives to improve pond water quality,https://himalayawellness.in/collections/all/products/pondshieldtm-powder
himtox powder,2375.0,dipolar mycotoxin toxin binder unique dipolar mycotoxin binder with superior toxin binding capacity and broad spectrum activity,https://himalayawellness.in/collections/all/products/himtox-r-powder
himrop plus,180.0,post calving tonic and energy supplement himalaya himrop plus support postpartum recovery and productivity the product also provides energy and support gluconeogenesis,https://himalayawellness.in/collections/all/products/himrop-plus
himchelate powder,8600.0,new dimension in mineral nutrition himchelate powder is unique combination of chelated trace mineral fortified with herbal active for ruminant taking care of the metabolic process of an animal body the unique combination aid in optimizing growth and reproduction in animal,https://himalayawellness.in/collections/all/products/himchelate-r-powder
wellness kit,0.0,guduchi tab wellness dee acidity tab nx8 ind strip dee cramp tab nx8 ind strip dee immunity tablet nx8 strip dee indgsn tab nx6 strip dee nausea tab nx8 strip gasex fizz jaljeera nx5g sachet gasex fizz lemon nx5g sachet gasex fizz orange nx5g sachet,https://himalayawellness.in/collections/all/products/wellness-kit
baby powder test,150.0,to keep cool and stay fresh himalaya baby powder is formulated with herbal ingredient which help keep baby skin cool and comfortable,https://himalayawellness.in/collections/all/products/baby-powder-test
