video_link,author,content,likes
https://www.youtube.com/watch?v=0kZ-YTBxgFY,jibin,super,0.0
https://www.youtube.com/watch?v=whlQ2oI3Q9M,rukhsarhabib1387,thank you for sharing such precious piece of information,1.0
https://www.youtube.com/watch?v=whlQ2oI3Q9M,habibacheema2922,amazing and great effort,0.0
https://www.youtube.com/watch?v=whlQ2oI3Q9M,roshni7292,ma sha allha dear zabrdast information thanks,1.0
https://www.youtube.com/watch?v=whlQ2oI3Q9M,saminarazalifestyle,mashallah zabardast work nice vlog,0.0
https://www.youtube.com/watch?v=whlQ2oI3Q9M,saniafiaz2420,good work keep it up,0.0
https://www.youtube.com/watch?v=whlQ2oI3Q9M,saima rashid,good video,1.0
https://www.youtube.com/watch?v=whlQ2oI3Q9M,guriya10,,1.0
https://www.youtube.com/watch?v=whlQ2oI3Q9M,ridaadnan4111,very nice sharing sister,1.0
https://www.youtube.com/watch?v=whlQ2oI3Q9M,amnamushtaq2502,,1.0
https://www.youtube.com/watch?v=whlQ2oI3Q9M,uzairhashirvlogs2735,wow mashaallah mashaallah bohot nice,1.0
https://www.youtube.com/watch?v=whlQ2oI3Q9M,zeek food,good job keep it up,0.0
https://www.youtube.com/watch?v=whlQ2oI3Q9M,hinamaanfamilyvlogs9502,very very nice,0.0
https://www.youtube.com/watch?v=whlQ2oI3Q9M,ansakharal2451,,1.0
https://www.youtube.com/watch?v=whlQ2oI3Q9M,zeek food,new subscriber dear si,0.0
https://www.youtube.com/watch?v=whlQ2oI3Q9M,zakirrazavlogs1,nice sharing,0.0
https://www.youtube.com/watch?v=whlQ2oI3Q9M,zaibedanish,hello dear,0.0
https://www.youtube.com/watch?v=whlQ2oI3Q9M,cricketloverirfan,geft don kar diea ha,0.0
https://www.youtube.com/watch?v=whlQ2oI3Q9M,savirakhanvlog2131,aslmoalykum,1.0
https://www.youtube.com/watch?v=whlQ2oI3Q9M,thecakeboxbychefsoniasheik8148,thank for sharing best video,0.0
https://www.youtube.com/watch?v=emqJpf29V1A,bhavin thakkar,madam my wish lord ganesh bless you come bright happiness in your life best life hamesha khush raho aap ka best friend,2.0
https://www.youtube.com/watch?v=emqJpf29V1A,friend collection zari work,very nice excellent work zabardasth,2.0
https://www.youtube.com/watch?v=F3Oqjt-mghc,jammula issak,only kid,1.0
https://www.youtube.com/watch?v=aCwd8XZ5giw,rafeyhassan4167,sir agr sath bol aishta sy smhja bhi dea krn please jaldi mein thora smhj bhi nhi ata,1.0
https://www.youtube.com/watch?v=oXf9hbM6uaw,gurramrajeshgurramsandeep6395,is it good for boy also,1.0
https://www.youtube.com/watch?v=qGQDn_6dgR0,dharmesh patel,nice product,0.0
https://www.youtube.com/watch?v=VPGVExLTokE,kamal,,1.0
https://www.youtube.com/watch?v=VPGVExLTokE,kamal,omg,1.0
https://www.youtube.com/watch?v=VPGVExLTokE,upkar singh,very nice ch,0.0
https://www.youtube.com/watch?v=IcPW33kfMcg,namra khan,,2.0
https://www.youtube.com/watch?v=IcPW33kfMcg,punam sinha,amazing,0.0
https://www.youtube.com/watch?v=IcPW33kfMcg,sarmila ghosh,dii can you make video on best long lasting foundation plzzz,2.0
https://www.youtube.com/watch?v=IcPW33kfMcg,firoza khatoon,ur voice is so cute like ur voice so much,1.0
https://www.youtube.com/watch?v=IcPW33kfMcg,radha mukund brijwasi,wow loved the recommendation,0.0
https://www.youtube.com/watch?v=IcPW33kfMcg,office burger craft,hii dii thanks for uploading this amazing video daily my mind get refresh when see you wonderful good job may you sunshine like this in future and cross million may ganpati bappa lord ganesh bless you,5.0
https://www.youtube.com/watch?v=IcPW33kfMcg,prajakta khot,it look so good defenetly trying this,0.0
https://www.youtube.com/watch?v=IcPW33kfMcg,vanshika kharbanda,love your video dimple di,1.0
https://www.youtube.com/watch?v=IcPW33kfMcg,rutuja shinde,beautiful,0.0
https://www.youtube.com/watch?v=IcPW33kfMcg,firoza khatoon,hii didi,1.0
https://www.youtube.com/watch?v=IcPW33kfMcg,henal vijuda,it useful dii,0.0
https://www.youtube.com/watch?v=IcPW33kfMcg,sakshi jadhav,make short daily didi love them,0.0
https://www.youtube.com/watch?v=IcPW33kfMcg,carry minati short,hii dii am your big fan and you are so cute and so beautiful,0.0
https://www.youtube.com/watch?v=IcPW33kfMcg,gayatri dagade,nice video dii,1.0
https://www.youtube.com/watch?v=IcPW33kfMcg,priyaprajapati,this video is awesome,0.0
https://www.youtube.com/watch?v=IcPW33kfMcg,sunny mishra,hello dii plzz suggest me scar and mole best product,0.0
https://www.youtube.com/watch?v=IcPW33kfMcg,sk ghouse,wow di,0.0
https://www.youtube.com/watch?v=IcPW33kfMcg,zartasha zar,really need this video thanks sweetheart,0.0
https://www.youtube.com/watch?v=IcPW33kfMcg,sunny mishra,dii helpful amazing video,0.0
https://www.youtube.com/watch?v=IcPW33kfMcg,pranshi gupta,di ap facial shaving ke upar video banaye plz,1.0
https://www.youtube.com/watch?v=tEKTAyzDnWk,fairyscreativeworld762,,1.0
https://www.youtube.com/watch?v=84bOB6YfTO0,karma teach the bitch,nice,1.0
https://www.youtube.com/watch?v=84bOB6YfTO0,simran chauhan,love to see you after long time,1.0
https://www.youtube.com/watch?v=6ScQxg4z4KA,sano khan,ordered this himalaya facial kit and it all review wa superb,0.0
https://www.youtube.com/watch?v=6ScQxg4z4KA,rozy munir mir,maybelline foundation ka review kijiye pls,1.0
https://www.youtube.com/watch?v=6ScQxg4z4KA,divya kadam,ye shop kaha he,0.0
https://www.youtube.com/watch?v=7XD0f1-7iLc,sulakshanaaggarwal5917,hey sonali very informative video shared by thanks to share looking forward to see more video,0.0
https://www.youtube.com/watch?v=7XD0f1-7iLc,mousumimoulik9311,hi pkp,0.0
https://www.youtube.com/watch?v=wSF1H225QUc,sairashakeel1103,best voice great content trusted guide love your work,0.0
https://www.youtube.com/watch?v=wSF1H225QUc,zainabsuleman5332,,0.0
https://www.youtube.com/watch?v=FRQ_4NG_vJw,misspreeti7691,,1.0
https://www.youtube.com/watch?v=uyI_p5sTM3s,harshad sabu,പോർസ് എല്ലാം റിമൂവ് ചെയ്യാൻ മുഖത്ത് ആവി പിടിക്കുന്നത് വളരെ ഫലപ്രദമാണ് ആഴ്ചയിൽ തവണ ഞാൻ ചെയ്യാറുണ്ട്,1.0
https://www.youtube.com/watch?v=c0P6TFC_X8c,vidya bhushan yaduvanshi,cool cool but aleovera use for pimple,2.0
https://www.youtube.com/watch?v=c0P6TFC_X8c,mohd ragib,nice,1.0
https://www.youtube.com/watch?v=c0P6TFC_X8c,surjeet lodh,ok,2.0
https://www.youtube.com/watch?v=c0P6TFC_X8c,abhishek saini,mam ye neem face wash ye oily skin ke liye kaisa rhega or pimple bhi,0.0
https://www.youtube.com/watch?v=c0P6TFC_X8c,꧁༒aditya gaming༒꧂,mem dry skin ke liye konsa thik hai,0.0
https://www.youtube.com/watch?v=c0P6TFC_X8c,tasdeeq ashraf,mam jado mein kaun sa facebook istemal karen,0.0
https://www.youtube.com/watch?v=c0P6TFC_X8c,rahul ujjain,koi sa bhi nahin,0.0
https://www.youtube.com/watch?v=gw1flp7GNVI,lifethrumyeyes,hi dear thank you for sharing the detailed video for my first child even used himlaya and had loved it for the second one someone suggested using momsco product so have recently started using momsco baby cream and found it to be good for the baby skin,2.0
https://www.youtube.com/watch?v=gw1flp7GNVI,duggu ki duniya,using momsco baby cream which quite good and natural too,1.0
https://www.youtube.com/watch?v=gw1flp7GNVI,sanskar shrivastav,which is better for combination skin,5.0
https://www.youtube.com/watch?v=gw1flp7GNVI,🙏bhakti bhandar,himalaya is best product,3.0
https://www.youtube.com/watch?v=gw1flp7GNVI,kapil kumar,winter me konsi best mam,0.0
https://www.youtube.com/watch?v=gw1flp7GNVI,anubhav pandey,,2.0
https://www.youtube.com/watch?v=gw1flp7GNVI,jaideep singh sandhu,dii which one is best for dry skin,1.0
https://www.youtube.com/watch?v=gw1flp7GNVI,dolly,dull skin ko shai karega,2.0
https://www.youtube.com/watch?v=gw1flp7GNVI,banwari sahu,ab aapko use kiye hue month hogaye toh aapko konsa jyada better laga please please reply dii please,3.0
https://www.youtube.com/watch?v=gw1flp7GNVI,ashok bhagchandani,amount nahi quantity bolo,0.0
https://www.youtube.com/watch?v=gw1flp7GNVI,kiara oberoi,aap konsa suggest karoge best face ke liye cream btao plzz,2.0
https://www.youtube.com/watch?v=gw1flp7GNVI,gurpreet kaur,tennagers lga skti hai ye dono cream,4.0
https://www.youtube.com/watch?v=gw1flp7GNVI,annu sandeel,baby ke face me lga sakte hai kya,5.0
https://www.youtube.com/watch?v=7gZLb8DOrxw,user ir5sc3nh6x,akka unga baby romba cute ta allaha eruka so sweet,0.0
https://www.youtube.com/watch?v=7gZLb8DOrxw,sugunathamodharan7440,,0.0
https://www.youtube.com/watch?v=7gZLb8DOrxw,user ir5sc3nh6x,good information tq si,0.0
https://www.youtube.com/watch?v=ViQyuL6I2cY,prohodaction,insane vlog take care,0.0
https://www.youtube.com/watch?v=aXzP8Z50E40,sumana shil,useable for oily skin,1.0
https://www.youtube.com/watch?v=aXzP8Z50E40,crafter and vlogs of aaradhya,hello rara watch your all video and have also subscribed ur channel rara can you please give review of avon care cc cream please,1.0
https://www.youtube.com/watch?v=aXzP8Z50E40,prakruthi,your skin is very smooth,2.0
https://www.youtube.com/watch?v=aXzP8Z50E40,navi singh,please rply,2.0
https://www.youtube.com/watch?v=aXzP8Z50E40,priyanka kumari,thanks for informing madam,0.0
https://www.youtube.com/watch?v=aXzP8Z50E40,navdeep kaur,mam kya ye oily skin ke liye hai or summer mein use kar sakte hain,0.0
https://www.youtube.com/watch?v=aXzP8Z50E40,swathi vijay,shall use this control my baby hair,0.0
https://www.youtube.com/watch?v=aXzP8Z50E40,bengia yadam,rara di pilgrim review kijey please,1.0
https://www.youtube.com/watch?v=aXzP8Z50E40,sadiya,is this product ph balance please share ph testing video of this product,0.0
https://www.youtube.com/watch?v=aXzP8Z50E40,tenzin yeshi,hi mam,2.0
https://www.youtube.com/watch?v=aXzP8Z50E40,asra begum,mam aloe vera gel ko refrigerator mi kitne din tak store kar sakte hai,0.0
https://www.youtube.com/watch?v=aXzP8Z50E40,aarti jadhav,monsoon konsa night cream use kare,0.0
https://www.youtube.com/watch?v=aXzP8Z50E40,paramita chanda,can use it primer before applying makeup,3.0
https://www.youtube.com/watch?v=aXzP8Z50E40,sumana shil,oil acni pron skin mey use kar ja sakti kya,0.0
https://www.youtube.com/watch?v=aXzP8Z50E40,soulmates couple status hd,sunscreen pehle use kr skte,1.0
https://www.youtube.com/watch?v=aXzP8Z50E40,ꮲαrաҽz,medam kitna time tak apply karke rakhna hai face per please reply,1.0
https://www.youtube.com/watch?v=aXzP8Z50E40,mitika nayak,di ye parobin free he kya please reply me,1.0
https://www.youtube.com/watch?v=aXzP8Z50E40,br,doubly cool,1.0
https://www.youtube.com/watch?v=aXzP8Z50E40,kumari saanu,ye kitne der lie rakhna hy ya puri raat plzzzzzzzzzzzz mam tell me,0.0
https://www.youtube.com/watch?v=aXzP8Z50E40,palvi saini,amazing,0.0
https://www.youtube.com/watch?v=3VceapOJ67s,⭐hit choudhary⭐,nice information sister,0.0
https://www.youtube.com/watch?v=3VceapOJ67s,sarwan singh,nice,2.0
https://www.youtube.com/watch?v=jS3oTkz3KUw,anandan,,1.0
https://www.youtube.com/watch?v=-hIE7QXKT8c,sulthana parvin,ninga today review pana video la roomba pedicha product na adhu butter,1.0
https://www.youtube.com/watch?v=-hIE7QXKT8c,sumaiya salim,vera level review si,1.0
https://www.youtube.com/watch?v=-hIE7QXKT8c,lavina motwani,am so so excited to see,0.0
https://www.youtube.com/watch?v=-hIE7QXKT8c,lavina motwani,all product amazing,0.0
https://www.youtube.com/watch?v=-hIE7QXKT8c,nafi art and craft,iam eagerley waiting akka,0.0
https://www.youtube.com/watch?v=-hIE7QXKT8c,abu abu,like excellent rewiew,0.0
https://www.youtube.com/watch?v=-hIE7QXKT8c,perumal madhu mitha,super si nice video,0.0
https://www.youtube.com/watch?v=-hIE7QXKT8c,lekshmi sreeraj,7th like,0.0
https://www.youtube.com/watch?v=-hIE7QXKT8c,archana,hi akka,0.0
https://www.youtube.com/watch?v=-hIE7QXKT8c,abu abu,like comment am waiting innaiku kandipa live vanthuralam,0.0
https://www.youtube.com/watch?v=-hIE7QXKT8c,thiruna thiruna,super,0.0
https://www.youtube.com/watch?v=FqFx4uMYrzI,jerin james,cool with nice presentation,1.0
https://www.youtube.com/watch?v=FqFx4uMYrzI,jerin james,,1.0
https://www.youtube.com/watch?v=FqFx4uMYrzI,jesna james,mamaearth product review cheyamo,2.0
https://www.youtube.com/watch?v=FqFx4uMYrzI,reshma cr,informative video,1.0
https://www.youtube.com/watch?v=FqFx4uMYrzI,ann merin james,,1.0
https://www.youtube.com/watch?v=FqFx4uMYrzI,art army,vedio creation nanavunud ketto,1.0
https://www.youtube.com/watch?v=FqFx4uMYrzI,jesna james,nice,1.0
https://www.youtube.com/watch?v=FqFx4uMYrzI,rosmy shaju,nice dear,1.0
https://www.youtube.com/watch?v=FqFx4uMYrzI,god is love,,1.0
https://www.youtube.com/watch?v=FqFx4uMYrzI,noid francis,,1.0
https://www.youtube.com/watch?v=FqFx4uMYrzI,akhil rajan,✌🏻,1.0
https://www.youtube.com/watch?v=3XccnkaAC9s,rewa naveen,sir huge respect to you never stop making such video we need content like this for more awareness in society after all we spend whole lot of money on product,4.0
https://www.youtube.com/watch?v=3XccnkaAC9s,tanmay ghosh,thank you sir,27.0
https://www.youtube.com/watch?v=3XccnkaAC9s,unboxing and update,himalaya since ikhti hai jisme jabki since se ham aapki ankho me dhool jhok rahe likha hona chahiye tha,39.0
https://www.youtube.com/watch?v=3XccnkaAC9s,shashank chauhan,great video doctor sahab it strong time when govt should start looking into product and publish strong norm,17.0
https://www.youtube.com/watch?v=3XccnkaAC9s,isha,someone should definitely take strict action against these company,0.0
https://www.youtube.com/watch?v=3XccnkaAC9s,shilpa rathore,excellent video all your video are very very informative helpful and useful after seeing your video came to know the reality of product of all brand and product available in market and best organic skin care product and organic hair care product all your video are great please make video of pick and kick of lakme mabeline nykaa lotus oriflame and garnier people buy use and believe on the product of all these brand blindly thinking that it is very safe beneficial and useful but reality is something else,1.0
https://www.youtube.com/watch?v=3XccnkaAC9s,saira munsi,thnku so much sir very useful video pls make pick kick video on soultree ruby organic lotus,9.0
https://www.youtube.com/watch?v=3XccnkaAC9s,stunning shweta,that true laww is only for poor people,0.0
https://www.youtube.com/watch?v=3XccnkaAC9s,umesh kumar bharti,pick and kick series jaari rahni chahiye bahut acchi series hai,7.0
https://www.youtube.com/watch?v=3XccnkaAC9s,poorna nayak,thank sir drugstore category me think almost all are chemical based product,3.0
https://www.youtube.com/watch?v=3XccnkaAC9s,my video,best wipe for intimate area intimate wash intimate area moisturize for men and also best face wipe brand,0.0
https://www.youtube.com/watch?v=3XccnkaAC9s,raghavan nair,thank you for this valuable information pls make kick pic series about the brand indie earth,5.0
https://www.youtube.com/watch?v=3XccnkaAC9s,meenakshi narang,very useful video thanks sir,2.0
https://www.youtube.com/watch?v=3XccnkaAC9s,harsha more,thanks sir for this video coz me himalaya ke bahot product use karti thi,2.0
https://www.youtube.com/watch?v=3XccnkaAC9s,om aradhna,thank you so much sir,2.0
https://www.youtube.com/watch?v=3XccnkaAC9s,bunny barve,informative information sir,2.0
https://www.youtube.com/watch?v=3XccnkaAC9s,sapna,sir plz make video for niacinamide serum is it needed or not which one is best for our skin or substitute of this serum,2.0
https://www.youtube.com/watch?v=3XccnkaAC9s,payel biswas,thank you sir for all your informative and helpful video,1.0
https://www.youtube.com/watch?v=3XccnkaAC9s,avni gupta,sir please make pick and kick series of minimalist,0.0
https://www.youtube.com/watch?v=3XccnkaAC9s,semina ahmed,good morning sir,2.0
