_type,url,date,rawContent,renderedContent,id,user,replyCount,retweetCount,likeCount,quoteCount,conversationId,lang,source,sourceUrl,sourceLabel,links,media,retweetedTweet,quotedTweet,inReplyToTweetId,inReplyToUser,mentionedUsers,coordinates,place,hashtags,cashtags,card,viewCount,vibe,content,outlinks,outlinksss,tcooutlinks,tcooutlinksss,username
snscrape.modules.twitter.Tweet,https://twitter.com/IamRayin/status/1627897816742866944,2023-02-21 05:07:39+00:00,"@rebelioushamila @amitspatkar @goacm @DaburIndia @HimalayaIndia @Vicco_Labs @MapiAyurveda @DrPramodPSawant @PypAyurved @yogrishiramdev @BJP4India @BJP4Goa This is the true authentic Ayurvedic institute.
https://t.co/O49uIDdrzh","@rebelioushamila @amitspatkar @goacm @DaburIndia @HimalayaIndia @Vicco_Labs @MapiAyurveda @DrPramodPSawant @PypAyurved @yogrishiramdev @BJP4India @BJP4Goa This is the true authentic Ayurvedic institute.
aryavaidyasala.com",1627897816742866944,"{'_type': 'snscrape.modules.twitter.User', 'username': 'IamRayin', 'id': 1237345071672016899, 'displayname': 'Rayin', 'rawDescription': 'Keralite, male, married, father of 2 kids.\nMechanical Engineer.', 'renderedDescription': 'Keralite, male, married, father of 2 kids.\nMechanical Engineer.', 'descriptionLinks': None, 'verified': False, 'created': '2020-03-10T11:50:40+00:00', 'followersCount': 377, 'friendsCount': 1099, 'statusesCount': 13268, 'favouritesCount': 37868, 'listedCount': 1, 'mediaCount': 497, 'location': '', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1619949326117081091/Gj_J5oYm_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1237345071672016899/1586147103', 'label': None, 'description': 'Keralite, male, married, father of 2 kids.\nMechanical Engineer.', 'descriptionUrls': None, 'linkTcourl': None, 'linkUrl': None, 'url': 'https://twitter.com/IamRayin'}",0,0,1,0,1627726321228054529,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://twitter.com/download/android,Twitter for Android,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'aryavaidyasala.com', 'url': 'https://www.aryavaidyasala.com/', 'tcourl': 'https://t.co/O49uIDdrzh', 'indices': [203, 226]}]",,,,1.627820986090537e+18,"{'_type': 'snscrape.modules.twitter.User', 'username': 'rebelioushamila', 'id': 1071584956189536256, 'displayname': 'Shamila Siddiqui', 'rawDescription': None, 'renderedDescription': None, 'descriptionLinks': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'link': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'description': None, 'descriptionUrls': None, 'linkTcourl': None, 'linkUrl': None, 'url': 'https://twitter.com/rebelioushamila'}","[{'_type': 'snscrape.modules.twitter.User', 'username': 'rebelioushamila', 'id': 1071584956189536256, 'displayname': 'Shamila Siddiqui', 'rawDescription': None, 'renderedDescription': None, 'descriptionLinks': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'link': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'description': None, 'descriptionUrls': None, 'linkTcourl': None, 'linkUrl': None, 'url': 'https://twitter.com/rebelioushamila'}, {'_type': 'snscrape.modules.twitter.User', 'username': 'amitspatkar', 'id': 2554024284, 'displayname': 'Amit Patkar', 'rawDescription': None, 'renderedDescription': None, 'descriptionLinks': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'link': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'description': None, 'descriptionUrls': None, 'linkTcourl': None, 'linkUrl': None, 'url': 'https://twitter.com/amitspatkar'}, {'_type': 'snscrape.modules.twitter.User', 'username': 'goacm', 'id': 3241053882, 'displayname': 'CMO Goa', 'rawDescription': None, 'renderedDescription': None, 'descriptionLinks': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'link': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'description': None, 'descriptionUrls': None, 'linkTcourl': None, 'linkUrl': None, 'url': 'https://twitter.com/goacm'}, {'_type': 'snscrape.modules.twitter.User', 'username': 'DaburIndia', 'id': 127809688, 'displayname': 'Dabur India Ltd', 'rawDescription': None, 'renderedDescription': None, 'descriptionLinks': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'link': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'description': None, 'descriptionUrls': None, 'linkTcourl': None, 'linkUrl': None, 'url': 'https://twitter.com/DaburIndia'}, {'_type': 'snscrape.modules.twitter.User', 'username': 'HimalayaIndia', 'id': 423190436, 'displayname': 'Himalaya Wellness Company', 'rawDescription': None, 'renderedDescription': None, 'descriptionLinks': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'link': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'description': None, 'descriptionUrls': None, 'linkTcourl': None, 'linkUrl': None, 'url': 'https://twitter.com/HimalayaIndia'}, {'_type': 'snscrape.modules.twitter.User', 'username': 'Vicco_Labs', 'id': 1706327575, 'displayname': 'VICCO', 'rawDescription': None, 'renderedDescription': None, 'descriptionLinks': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'link': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'description': None, 'descriptionUrls': None, 'linkTcourl': None, 'linkUrl': None, 'url': 'https://twitter.com/Vicco_Labs'}, {'_type': 'snscrape.modules.twitter.User', 'username': 'MapiAyurveda', 'id': 28392318, 'displayname': 'Maharishi Ayurveda', 'rawDescription': None, 'renderedDescription': None, 'descriptionLinks': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'link': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'description': None, 'descriptionUrls': None, 'linkTcourl': None, 'linkUrl': None, 'url': 'https://twitter.com/MapiAyurveda'}, {'_type': 'snscrape.modules.twitter.User', 'username': 'DrPramodPSawant', 'id': 785783685937295360, 'displayname': 'Dr. Pramod Sawant', 'rawDescription': None, 'renderedDescription': None, 'descriptionLinks': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'link': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'description': None, 'descriptionUrls': None, 'linkTcourl': None, 'linkUrl': None, 'url': 'https://twitter.com/DrPramodPSawant'}, {'_type': 'snscrape.modules.twitter.User', 'username': 'PypAyurved', 'id': 708148004797030401, 'displayname': 'Patanjali Ayurved', 'rawDescription': None, 'renderedDescription': None, 'descriptionLinks': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'link': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'description': None, 'descriptionUrls': None, 'linkTcourl': None, 'linkUrl': None, 'url': 'https://twitter.com/PypAyurved'}, {'_type': 'snscrape.modules.twitter.User', 'username': 'yogrishiramdev', 'id': 559345507, 'displayname': 'स्वामी रामदेव', 'rawDescription': None, 'renderedDescription': None, 'descriptionLinks': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'link': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'description': None, 'descriptionUrls': None, 'linkTcourl': None, 'linkUrl': None, 'url': 'https://twitter.com/yogrishiramdev'}, {'_type': 'snscrape.modules.twitter.User', 'username': 'BJP4India', 'id': 207809313, 'displayname': 'BJP', 'rawDescription': None, 'renderedDescription': None, 'descriptionLinks': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'link': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'description': None, 'descriptionUrls': None, 'linkTcourl': None, 'linkUrl': None, 'url': 'https://twitter.com/BJP4India'}, {'_type': 'snscrape.modules.twitter.User', 'username': 'BJP4Goa', 'id': 758216347486720000, 'displayname': 'BJP Goa', 'rawDescription': None, 'renderedDescription': None, 'descriptionLinks': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'link': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'description': None, 'descriptionUrls': None, 'linkTcourl': None, 'linkUrl': None, 'url': 'https://twitter.com/BJP4Goa'}]",,,,,,33,,"@rebelioushamila @amitspatkar @goacm @DaburIndia @HimalayaIndia @Vicco_Labs @MapiAyurveda @DrPramodPSawant @PypAyurved @yogrishiramdev @BJP4India @BJP4Goa This is the true authentic Ayurvedic institute.
https://t.co/O49uIDdrzh",['https://www.aryavaidyasala.com/'],https://www.aryavaidyasala.com/,['https://t.co/O49uIDdrzh'],https://t.co/O49uIDdrzh,IamRayin
snscrape.modules.twitter.Tweet,https://twitter.com/rebelioushamila/status/1627820986090536960,2023-02-21 00:02:21+00:00,@amitspatkar @goacm @DaburIndia @HimalayaIndia @Vicco_Labs @MapiAyurveda @DrPramodPSawant @PypAyurved Kerala ayurvedic system is a well trusted system but they don't advertise fiercely like @yogrishiramdev . The way @BJP4India &amp; @BJP4Goa is promoting @PypAyurved  it is clear they have a commission in this business,@amitspatkar @goacm @DaburIndia @HimalayaIndia @Vicco_Labs @MapiAyurveda @DrPramodPSawant @PypAyurved Kerala ayurvedic system is a well trusted system but they don't advertise fiercely like @yogrishiramdev . The way @BJP4India &amp; @BJP4Goa is promoting @PypAyurved  it is clear they have a commission in this business,1627820986090536960,"{'_type': 'snscrape.modules.twitter.User', 'username': 'rebelioushamila', 'id': 1071584956189536256, 'displayname': 'Shamila Siddiqui', 'rawDescription': 'love Congress Ideology|\nSocial Media coordinator Goa Congress| RTs are not endorsement', 'renderedDescription': 'love Congress Ideology|\nSocial Media coordinator Goa Congress| RTs are not endorsement', 'descriptionLinks': None, 'verified': False, 'created': '2018-12-09T01:58:57+00:00', 'followersCount': 3975, 'friendsCount': 1438, 'statusesCount': 41054, 'favouritesCount': 73538, 'listedCount': 4, 'mediaCount': 540, 'location': 'Goa, India', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1634080054333546496/P9MW3Lve_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1071584956189536256/1634816206', 'label': None, 'description': 'love Congress Ideology|\nSocial Media coordinator Goa Congress| RTs are not endorsement', 'descriptionUrls': None, 'linkTcourl': None, 'linkUrl': None, 'url': 'https://twitter.com/rebelioushamila'}",2,31,35,1,1627726321228054529,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://twitter.com/download/android,Twitter for Android,,,,,1.6277263212280545e+18,"{'_type': 'snscrape.modules.twitter.User', 'username': 'amitspatkar', 'id': 2554024284, 'displayname': 'Amit Patkar', 'rawDescription': None, 'renderedDescription': None, 'descriptionLinks': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'link': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'description': None, 'descriptionUrls': None, 'linkTcourl': None, 'linkUrl': None, 'url': 'https://twitter.com/amitspatkar'}","[{'_type': 'snscrape.modules.twitter.User', 'username': 'amitspatkar', 'id': 2554024284, 'displayname': 'Amit Patkar', 'rawDescription': None, 'renderedDescription': None, 'descriptionLinks': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'link': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'description': None, 'descriptionUrls': None, 'linkTcourl': None, 'linkUrl': None, 'url': 'https://twitter.com/amitspatkar'}, {'_type': 'snscrape.modules.twitter.User', 'username': 'goacm', 'id': 3241053882, 'displayname': 'CMO Goa', 'rawDescription': None, 'renderedDescription': None, 'descriptionLinks': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'link': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'description': None, 'descriptionUrls': None, 'linkTcourl': None, 'linkUrl': None, 'url': 'https://twitter.com/goacm'}, {'_type': 'snscrape.modules.twitter.User', 'username': 'DaburIndia', 'id': 127809688, 'displayname': 'Dabur India Ltd', 'rawDescription': None, 'renderedDescription': None, 'descriptionLinks': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'link': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'description': None, 'descriptionUrls': None, 'linkTcourl': None, 'linkUrl': None, 'url': 'https://twitter.com/DaburIndia'}, {'_type': 'snscrape.modules.twitter.User', 'username': 'HimalayaIndia', 'id': 423190436, 'displayname': 'Himalaya Wellness Company', 'rawDescription': None, 'renderedDescription': None, 'descriptionLinks': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'link': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'description': None, 'descriptionUrls': None, 'linkTcourl': None, 'linkUrl': None, 'url': 'https://twitter.com/HimalayaIndia'}, {'_type': 'snscrape.modules.twitter.User', 'username': 'Vicco_Labs', 'id': 1706327575, 'displayname': 'VICCO', 'rawDescription': None, 'renderedDescription': None, 'descriptionLinks': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'link': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'description': None, 'descriptionUrls': None, 'linkTcourl': None, 'linkUrl': None, 'url': 'https://twitter.com/Vicco_Labs'}, {'_type': 'snscrape.modules.twitter.User', 'username': 'MapiAyurveda', 'id': 28392318, 'displayname': 'Maharishi Ayurveda', 'rawDescription': None, 'renderedDescription': None, 'descriptionLinks': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'link': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'description': None, 'descriptionUrls': None, 'linkTcourl': None, 'linkUrl': None, 'url': 'https://twitter.com/MapiAyurveda'}, {'_type': 'snscrape.modules.twitter.User', 'username': 'DrPramodPSawant', 'id': 785783685937295360, 'displayname': 'Dr. Pramod Sawant', 'rawDescription': None, 'renderedDescription': None, 'descriptionLinks': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'link': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'description': None, 'descriptionUrls': None, 'linkTcourl': None, 'linkUrl': None, 'url': 'https://twitter.com/DrPramodPSawant'}, {'_type': 'snscrape.modules.twitter.User', 'username': 'PypAyurved', 'id': 708148004797030401, 'displayname': 'Patanjali Ayurved', 'rawDescription': None, 'renderedDescription': None, 'descriptionLinks': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'link': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'description': None, 'descriptionUrls': None, 'linkTcourl': None, 'linkUrl': None, 'url': 'https://twitter.com/PypAyurved'}, {'_type': 'snscrape.modules.twitter.User', 'username': 'yogrishiramdev', 'id': 559345507, 'displayname': 'स्वामी रामदेव', 'rawDescription': None, 'renderedDescription': None, 'descriptionLinks': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'link': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'description': None, 'descriptionUrls': None, 'linkTcourl': None, 'linkUrl': None, 'url': 'https://twitter.com/yogrishiramdev'}, {'_type': 'snscrape.modules.twitter.User', 'username': 'BJP4India', 'id': 207809313, 'displayname': 'BJP', 'rawDescription': None, 'renderedDescription': None, 'descriptionLinks': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'link': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'description': None, 'descriptionUrls': None, 'linkTcourl': None, 'linkUrl': None, 'url': 'https://twitter.com/BJP4India'}, {'_type': 'snscrape.modules.twitter.User', 'username': 'BJP4Goa', 'id': 758216347486720000, 'displayname': 'BJP Goa', 'rawDescription': None, 'renderedDescription': None, 'descriptionLinks': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'link': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'description': None, 'descriptionUrls': None, 'linkTcourl': None, 'linkUrl': None, 'url': 'https://twitter.com/BJP4Goa'}, {'_type': 'snscrape.modules.twitter.User', 'username': 'PypAyurved', 'id': 708148004797030401, 'displayname': 'Patanjali Ayurved', 'rawDescription': None, 'renderedDescription': None, 'descriptionLinks': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'link': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'description': None, 'descriptionUrls': None, 'linkTcourl': None, 'linkUrl': None, 'url': 'https://twitter.com/PypAyurved'}]",,,,,,548,,@amitspatkar @goacm @DaburIndia @HimalayaIndia @Vicco_Labs @MapiAyurveda @DrPramodPSawant @PypAyurved Kerala ayurvedic system is a well trusted system but they don't advertise fiercely like @yogrishiramdev . The way @BJP4India &amp; @BJP4Goa is promoting @PypAyurved  it is clear they have a commission in this business,[],,[],,rebelioushamila
snscrape.modules.twitter.Tweet,https://twitter.com/Its_Mangesh99/status/1626611089260822529,2023-02-17 15:54:39+00:00,@HimalayaIndia  Though Purchased for Ayurvedic propriety moisturizer.contains lot of Chemical ingredients. https://t.co/kuDVkENq4U,@HimalayaIndia  Though Purchased for Ayurvedic propriety moisturizer.contains lot of Chemical ingredients. https://t.co/kuDVkENq4U,1626611089260822529,"{'_type': 'snscrape.modules.twitter.User', 'username': 'Its_Mangesh99', 'id': 1191661501246926848, 'displayname': 'Mangesh', 'rawDescription': 'Socio\nViews r Personal', 'renderedDescription': 'Socio\nViews r Personal', 'descriptionLinks': None, 'verified': False, 'created': '2019-11-05T10:20:44+00:00', 'followersCount': 23, 'friendsCount': 210, 'statusesCount': 125, 'favouritesCount': 881, 'listedCount': 0, 'mediaCount': 15, 'location': '', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1191661923940499456/8f69h10C_normal.jpg', 'profileBannerUrl': None, 'label': None, 'description': 'Socio\nViews r Personal', 'descriptionUrls': None, 'linkTcourl': None, 'linkUrl': None, 'url': 'https://twitter.com/Its_Mangesh99'}",0,0,0,0,1626611089260822529,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://twitter.com/download/android,Twitter for Android,,"[{'_type': 'snscrape.modules.twitter.Photo', 'previewUrl': 'https://pbs.twimg.com/media/FpLiJZqagAEJvul?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/FpLiJZqagAEJvul?format=jpg&name=orig', 'altText': None}]",,,,,"[{'_type': 'snscrape.modules.twitter.User', 'username': 'HimalayaIndia', 'id': 423190436, 'displayname': 'Himalaya Wellness Company', 'rawDescription': None, 'renderedDescription': None, 'descriptionLinks': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'link': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'description': None, 'descriptionUrls': None, 'linkTcourl': None, 'linkUrl': None, 'url': 'https://twitter.com/HimalayaIndia'}]",,,,,,6,,@HimalayaIndia  Though Purchased for Ayurvedic propriety moisturizer.contains lot of Chemical ingredients. https://t.co/kuDVkENq4U,[],,[],,Its_Mangesh99
