Source,Target,Type
23283603,72481380,Directed
23283603,873644383165435000,Directed
23283603,1176953263184400000,Directed
23283603,114203360,Directed
23283603,21843174,Directed
23283603,390602999,Directed
23283603,1214507121909220000,Directed
23283603,862339384678518000,Directed
23283603,1397629124173200000,Directed
23283603,988362975617601000,Directed
23283603,974261491636387000,Directed
23283603,1298868025697770000,Directed
23283603,193260163,Directed
23283603,838879686797090000,Directed
23283603,1183634323,Directed
23283603,292159076,Directed
23283603,866959946927177000,Directed
23283603,481968108,Directed
23283603,1244851747375290000,Directed
23283603,15170758,Directed
23283603,1570390796192590000,Directed
23283603,1637920874669000000,Directed
23283603,911228743737212000,Directed
23283603,1561713698938710000,Directed
23283603,1637899000320760000,Directed
72481380,32332988,Directed
72481380,1459126464931000000,Directed
72481380,1660202983,Directed
72481380,22596514,Directed
72481380,16489912,Directed
72481380,87419705,Directed
72481380,95042637,Directed
72481380,31501423,Directed
72481380,2150865564,Directed
72481380,2314914986,Directed
72481380,8806712,Directed
72481380,63066473,Directed
72481380,37151522,Directed
72481380,21843174,Directed
72481380,135227064,Directed
72481380,57267301,Directed
72481380,35745089,Directed
72481380,91881021,Directed
72481380,44572832,Directed
72481380,223110908,Directed
72481380,2611218758,Directed
72481380,1637949891677700000,Directed
72481380,775215200,Directed
72481380,1614335490316190000,Directed
72481380,1059882075866640000,Directed
72481380,1631603229308880000,Directed
72481380,794446133670113000,Directed
72481380,1637917212429410000,Directed
72481380,1577985676301450000,Directed
72481380,970314474195439000,Directed
72481380,1637125683737660000,Directed
72481380,2943523231,Directed
72481380,3193332397,Directed
72481380,1502671904783560000,Directed
72481380,1479156045050040000,Directed
72481380,1511306735310360000,Directed
72481380,1513144898299760000,Directed
72481380,3134972347,Directed
72481380,1582430046698240000,Directed
72481380,757073036734373000,Directed
72481380,1637870285587110000,Directed
72481380,1367890959623670000,Directed
72481380,93810294,Directed
72481380,1482368319202420000,Directed
72481380,1543445139548470000,Directed
72481380,1147776386943180000,Directed
72481380,1637880070910910000,Directed
72481380,1637382997820280000,Directed
72481380,456942931,Directed
72481380,1144486170690060000,Directed
72481380,1635946341904910000,Directed
72481380,1637863351085850000,Directed
72481380,65343897,Directed
72481380,1198443379253600000,Directed
72481380,1637812925736910000,Directed
72481380,1637860221652700000,Directed
72481380,1622975521033430000,Directed
72481380,973584276024385000,Directed
72481380,1604002078023910000,Directed
72481380,245705302,Directed
72481380,450442657,Directed
72481380,1275054045460170000,Directed
72481380,1023629769055850000,Directed
72481380,1637844801000470000,Directed
72481380,1632547692827240000,Directed
72481380,1628220088515170000,Directed
72481380,1635184239640560000,Directed
72481380,1637636121055070000,Directed
72481380,1540992585006710000,Directed
72481380,1434971864279830000,Directed
72481380,70162453,Directed
72481380,1637052725132240000,Directed
72481380,113264052,Directed
72481380,1637735647225020000,Directed
72481380,1012699243,Directed
72481380,876792334758813000,Directed
72481380,1637783231700380000,Directed
72481380,1636718910824210000,Directed
72481380,1228258916825320000,Directed
72481380,1566442206151710000,Directed
72481380,1611321522752290000,Directed
72481380,1467880600618940000,Directed
72481380,1558002513605180000,Directed
72481380,1619368096518520000,Directed
72481380,1587732428461850000,Directed
72481380,1402525681955650000,Directed
72481380,1286146566781140000,Directed
72481380,767938700,Directed
72481380,393355095,Directed
72481380,1386341632711150000,Directed
72481380,1206562110274070000,Directed
72481380,1637753116371080000,Directed
72481380,1604743682363510000,Directed
72481380,778640480368074000,Directed
72481380,1631135577906240000,Directed
72481380,1585600189582050000,Directed
72481380,771172928,Directed
72481380,1637736234461150000,Directed
72481380,1637734136390580000,Directed
72481380,1636761423299720000,Directed
72481380,2388713736,Directed
72481380,1514896252093180000,Directed
72481380,288275756,Directed
72481380,1554415457440250000,Directed
72481380,1431924281240260000,Directed
72481380,1637714505080920000,Directed
72481380,1637713218356240000,Directed
72481380,97495278,Directed
72481380,2297307786,Directed
72481380,1240690031645170000,Directed
72481380,1542455757731290000,Directed
72481380,1445062750162460000,Directed
72481380,1411238327857160000,Directed
72481380,98674001,Directed
72481380,1479100531796700000,Directed
72481380,860885514831790000,Directed
72481380,313224866,Directed
72481380,1395787451105360000,Directed
72481380,1456171142025140000,Directed
72481380,1607596191109500000,Directed
72481380,1251249806,Directed
72481380,2758489933,Directed
72481380,729658443800453000,Directed
72481380,791660630,Directed
72481380,1622153705335420000,Directed
72481380,1623011553753840000,Directed
72481380,328411920,Directed
72481380,1637627468096860000,Directed
72481380,1130900718,Directed
72481380,264985836,Directed
72481380,1607383899021410000,Directed
72481380,1326432849625420000,Directed
72481380,1395355247145480000,Directed
72481380,1637605850734030000,Directed
72481380,2438706865,Directed
72481380,720956067648118000,Directed
72481380,3229994821,Directed
72481380,1637548616813520000,Directed
72481380,1548928385233350000,Directed
72481380,1445090943753860000,Directed
72481380,1504418124128730000,Directed
72481380,2514553801,Directed
72481380,1542573902492070000,Directed
72481380,1215168834904050000,Directed
72481380,1511292471485120000,Directed
72481380,1637526278629880000,Directed
72481380,1230675908014430000,Directed
72481380,1637522642893670000,Directed
72481380,121011438,Directed
72481380,1414306112766020000,Directed
72481380,925496598653784000,Directed
72481380,1600070868440610000,Directed
72481380,1505189705456910000,Directed
72481380,734432197155770000,Directed
72481380,1187683183216610000,Directed
72481380,1227515238087410000,Directed
72481380,1500488005450330000,Directed
72481380,1256464911368150000,Directed
72481380,1637487922050990000,Directed
72481380,1544286748477640000,Directed
72481380,1578206329809810000,Directed
72481380,2936089897,Directed
72481380,1637421684109040000,Directed
72481380,1637496679237840000,Directed
72481380,1250353051451310000,Directed
72481380,740061020,Directed
72481380,1593562365748210000,Directed
72481380,132461064,Directed
72481380,177895034,Directed
72481380,1637474506469000000,Directed
72481380,1569921258548240000,Directed
72481380,1637478356282220000,Directed
72481380,1593230300741430000,Directed
72481380,1585879702543030000,Directed
72481380,1451964508944030000,Directed
72481380,2311481395,Directed
72481380,1612856230451760000,Directed
72481380,947789538,Directed
72481380,1293586943003850000,Directed
72481380,1591006169715250000,Directed
72481380,1613345532088570000,Directed
72481380,1467165467282340000,Directed
72481380,1636354555834180000,Directed
72481380,1469448379310620000,Directed
72481380,1390067325089590000,Directed
72481380,1457432411587760000,Directed
72481380,2989372120,Directed
72481380,1637425347875550000,Directed
72481380,1226343190950660000,Directed
72481380,1637414041831210000,Directed
72481380,1637412658008790000,Directed
72481380,1399745287715900000,Directed
72481380,1575498671465970000,Directed
72481380,1308787073130860000,Directed
72481380,1637401984570400000,Directed
72481380,1425206665196930000,Directed
72481380,104424572,Directed
72481380,987617155347722000,Directed
72481380,1558024980923030000,Directed
72481380,1207613209043050000,Directed
873644383165435000,3147983058,Directed
873644383165435000,117800926,Directed
873644383165435000,178358867,Directed
873644383165435000,3809480178,Directed
873644383165435000,912253176,Directed
873644383165435000,3868003454,Directed
873644383165435000,1262307757945840000,Directed
873644383165435000,957742375,Directed
873644383165435000,755672251832217000,Directed
873644383165435000,1703902436,Directed
873644383165435000,1028152356137880000,Directed
873644383165435000,62766520,Directed
873644383165435000,1361669091157710000,Directed
873644383165435000,1176953263184400000,Directed
873644383165435000,720844501804167000,Directed
873644383165435000,128529833,Directed
873644383165435000,1315900388457930000,Directed
873644383165435000,744478728651079000,Directed
873644383165435000,871636560256487000,Directed
873644383165435000,1355525185609150000,Directed
873644383165435000,1635703457813230000,Directed
873644383165435000,1622294878700060000,Directed
873644383165435000,1219809595750670000,Directed
873644383165435000,1636515460010180000,Directed
873644383165435000,908185016026374000,Directed
873644383165435000,1294945546931580000,Directed
873644383165435000,1613844272381580000,Directed
873644383165435000,1363147146480860000,Directed
873644383165435000,1637735647225020000,Directed
873644383165435000,1185802680045730000,Directed
873644383165435000,1269973483359890000,Directed
873644383165435000,1637486375019630000,Directed
873644383165435000,1415535414090370000,Directed
873644383165435000,1635445438118520000,Directed
873644383165435000,1217107521652970000,Directed
873644383165435000,889875840917532000,Directed
873644383165435000,2758489933,Directed
873644383165435000,1558872400481070000,Directed
873644383165435000,1505812165403490000,Directed
873644383165435000,1548928385233350000,Directed
873644383165435000,1636086832093080000,Directed
873644383165435000,1260217377515540000,Directed
873644383165435000,2636153538,Directed
873644383165435000,1713623575,Directed
873644383165435000,1339541314854100000,Directed
873644383165435000,849091859326566000,Directed
873644383165435000,1579897201236800000,Directed
873644383165435000,1637354520559910000,Directed
873644383165435000,1624973103435590000,Directed
873644383165435000,904080350564859000,Directed
873644383165435000,1637425347875550000,Directed
873644383165435000,1637422041887540000,Directed
873644383165435000,1483723648095910000,Directed
873644383165435000,1068325652888050000,Directed
873644383165435000,1304530714151400000,Directed
873644383165435000,1548109980154620000,Directed
873644383165435000,1565253512815980000,Directed
873644383165435000,1406593686293540000,Directed
873644383165435000,1402986200227400000,Directed
873644383165435000,1636227589705480000,Directed
873644383165435000,1635919878078040000,Directed
873644383165435000,1058892246525890000,Directed
873644383165435000,1445098937421940000,Directed
873644383165435000,1384394555508750000,Directed
873644383165435000,1177115540,Directed
873644383165435000,2657838880,Directed
873644383165435000,1295995228298580000,Directed
873644383165435000,1510158332950150000,Directed
873644383165435000,2283326648,Directed
873644383165435000,1329254091063650000,Directed
873644383165435000,114180327,Directed
873644383165435000,1384012213870940000,Directed
873644383165435000,1085257524066930000,Directed
873644383165435000,1272097637089460000,Directed
873644383165435000,1637009774293270000,Directed
873644383165435000,1859629136,Directed
873644383165435000,1636705432549870000,Directed
873644383165435000,1622254231716770000,Directed
873644383165435000,1569762693304950000,Directed
873644383165435000,1636554198782480000,Directed
873644383165435000,1607097745814450000,Directed
873644383165435000,1608751089763120000,Directed
873644383165435000,1591019509284240000,Directed
873644383165435000,1617343283897990000,Directed
873644383165435000,1631987306054790000,Directed
873644383165435000,1473331598305070000,Directed
873644383165435000,1576281131078380000,Directed
873644383165435000,850056460415455000,Directed
873644383165435000,1466811161668630000,Directed
873644383165435000,1636472434558640000,Directed
873644383165435000,912334589103763000,Directed
873644383165435000,1457317456821640000,Directed
873644383165435000,318990117,Directed
873644383165435000,1136911100027390000,Directed
873644383165435000,1357285458179280000,Directed
873644383165435000,908911134043914000,Directed
873644383165435000,1209042510749650000,Directed
873644383165435000,1608102021642550000,Directed
873644383165435000,1635944961911700000,Directed
873644383165435000,1636695289598820000,Directed
873644383165435000,1610880241,Directed
873644383165435000,1621803557459740000,Directed
873644383165435000,69643687,Directed
873644383165435000,1522265872135440000,Directed
873644383165435000,1570371697340980000,Directed
873644383165435000,974937108203831000,Directed
873644383165435000,1075069201377830000,Directed
873644383165435000,1508491950856730000,Directed
873644383165435000,1608493530674080000,Directed
873644383165435000,1636539540440590000,Directed
873644383165435000,1245683055655710000,Directed
873644383165435000,1636568599178400000,Directed
873644383165435000,813990598575149000,Directed
873644383165435000,1636530564575400000,Directed
873644383165435000,1490751224299220000,Directed
873644383165435000,2912606494,Directed
873644383165435000,1623949658983620000,Directed
873644383165435000,862328100050358000,Directed
873644383165435000,1564993710353390000,Directed
873644383165435000,1226895735687270000,Directed
873644383165435000,1458278154607360000,Directed
873644383165435000,1636186565587210000,Directed
873644383165435000,1635376060450710000,Directed
873644383165435000,1618883307424600000,Directed
873644383165435000,1635619834321870000,Directed
873644383165435000,1309789897297800000,Directed
873644383165435000,1581982146763190000,Directed
873644383165435000,1257164308028420000,Directed
873644383165435000,1357543056363320000,Directed
873644383165435000,1636383271927050000,Directed
873644383165435000,1596711012274610000,Directed
873644383165435000,1555492250138080000,Directed
873644383165435000,1634611106948730000,Directed
873644383165435000,1351353060220490000,Directed
873644383165435000,856155868274020000,Directed
873644383165435000,1228346801276820000,Directed
873644383165435000,280892445,Directed
873644383165435000,1185099201434170000,Directed
873644383165435000,2998431577,Directed
873644383165435000,1357011101934770000,Directed
873644383165435000,822475044865638000,Directed
873644383165435000,1635502427544720000,Directed
873644383165435000,1585310143633410000,Directed
873644383165435000,1593838498724780000,Directed
873644383165435000,1425682609900720000,Directed
873644383165435000,1145679483996740000,Directed
873644383165435000,917838633188519000,Directed
873644383165435000,888243813663129000,Directed
873644383165435000,1260281628921920000,Directed
873644383165435000,1635667276212090000,Directed
873644383165435000,1635578661272160000,Directed
873644383165435000,1600377652988500000,Directed
873644383165435000,1636085646274980000,Directed
873644383165435000,1634820144881880000,Directed
873644383165435000,1547972776174420000,Directed
873644383165435000,1636004288005580000,Directed
873644383165435000,1620631984073770000,Directed
873644383165435000,3080411125,Directed
873644383165435000,412408412,Directed
873644383165435000,1529768286266990000,Directed
873644383165435000,1352458477487090000,Directed
873644383165435000,1586283301093850000,Directed
873644383165435000,1636001410683630000,Directed
873644383165435000,1496159880754780000,Directed
873644383165435000,1635936382026760000,Directed
873644383165435000,1635974944159820000,Directed
873644383165435000,1555224217033270000,Directed
873644383165435000,1622853003329030000,Directed
873644383165435000,1632595327424290000,Directed
873644383165435000,3725920951,Directed
873644383165435000,1635748150181800000,Directed
873644383165435000,1536047911276000000,Directed
873644383165435000,1336196472,Directed
873644383165435000,1450039508959850000,Directed
873644383165435000,1635248547997130000,Directed
873644383165435000,1304298558791710000,Directed
873644383165435000,1621030803970060000,Directed
873644383165435000,1635563601183250000,Directed
873644383165435000,1634564336755820000,Directed
873644383165435000,1454855768407250000,Directed
873644383165435000,1263118301200350000,Directed
873644383165435000,1634096313871780000,Directed
873644383165435000,859735821309665000,Directed
873644383165435000,1459827846394880000,Directed
873644383165435000,1635674173245620000,Directed
873644383165435000,1551882721546230000,Directed
873644383165435000,1635648562254990000,Directed
873644383165435000,1427237100789710000,Directed
873644383165435000,766295815522492000,Directed
873644383165435000,1635613361789440000,Directed
873644383165435000,1537229455973740000,Directed
873644383165435000,1633316674156850000,Directed
873644383165435000,933372201197170000,Directed
873644383165435000,1303010075007620000,Directed
873644383165435000,1632140601410950000,Directed
873644383165435000,1635527038416060000,Directed
873644383165435000,1635527736562270000,Directed
873644383165435000,1609101756323230000,Directed
873644383165435000,2900373475,Directed
873644383165435000,1635009461440900000,Directed
1176953263184400000,1361669091157710000,Directed
1176953263184400000,1259044143092780000,Directed
1176953263184400000,883366500312260000,Directed
1176953263184400000,774402015703302000,Directed
1176953263184400000,873644383165435000,Directed
1176953263184400000,1340853221980550000,Directed
1176953263184400000,298497139,Directed
1176953263184400000,1205659496053270000,Directed
1176953263184400000,3944425932,Directed
1176953263184400000,59087197,Directed
1176953263184400000,1349391696732110000,Directed
1176953263184400000,1274334078628530000,Directed
1176953263184400000,1406087060495110000,Directed
1176953263184400000,1154291628607010000,Directed
1176953263184400000,1223224870130960000,Directed
1176953263184400000,1248686022197550000,Directed
1176953263184400000,1177529461358480000,Directed
1176953263184400000,1256319795890400000,Directed
1176953263184400000,1095270055498010000,Directed
1176953263184400000,1160596127298670000,Directed
1176953263184400000,1613883630098710000,Directed
1176953263184400000,1068040105644900000,Directed
1176953263184400000,2897385326,Directed
1176953263184400000,1369690141728460000,Directed
1176953263184400000,1637667670136060000,Directed
1176953263184400000,1637538170010210000,Directed
1176953263184400000,1563876578375130000,Directed
1176953263184400000,748818879091126000,Directed
1176953263184400000,1636515460010180000,Directed
1176953263184400000,1637756076081680000,Directed
1176953263184400000,1637030853384740000,Directed
1176953263184400000,1294945546931580000,Directed
1176953263184400000,1280707196876190000,Directed
1176953263184400000,3138333895,Directed
1176953263184400000,1568836859249440000,Directed
1176953263184400000,1459275682987450000,Directed
1176953263184400000,849786343349682000,Directed
1176953263184400000,1633872545870130000,Directed
1176953263184400000,922737340996448000,Directed
1176953263184400000,3309967603,Directed
1176953263184400000,1505812165403490000,Directed
1176953263184400000,841227279606902000,Directed
1176953263184400000,1635996180214690000,Directed
1176953263184400000,1488768974804300000,Directed
1176953263184400000,1622294878700060000,Directed
1176953263184400000,2636153538,Directed
1176953263184400000,1465789227669630000,Directed
1176953263184400000,1624973103435590000,Directed
1176953263184400000,1637461438452120000,Directed
1176953263184400000,1512216093741710000,Directed
1176953263184400000,1414192243221540000,Directed
1176953263184400000,1268916572321710000,Directed
1176953263184400000,1390503243734600000,Directed
1176953263184400000,1547782992998800000,Directed
1176953263184400000,1548109980154620000,Directed
1176953263184400000,1637351944355470000,Directed
1176953263184400000,1583072061152310000,Directed
1176953263184400000,1026049965217310000,Directed
1176953263184400000,1475742676632750000,Directed
1176953263184400000,1462093070959320000,Directed
1176953263184400000,1636122724056670000,Directed
1176953263184400000,1000311446738090000,Directed
1176953263184400000,1628046331062400000,Directed
1176953263184400000,1636227589705480000,Directed
1176953263184400000,716384642924871000,Directed
1176953263184400000,1617387815486220000,Directed
1176953263184400000,1429702425934400000,Directed
1176953263184400000,1536356337457560000,Directed
1176953263184400000,1355008220025150000,Directed
1176953263184400000,1305356628112280000,Directed
1176953263184400000,1275832705393890000,Directed
