Id,Label,name,friendsCount,followersCount
23283603,zomato,zomato,7,1571031
72481380,deepigoyal,Deepinder Goyal,11,582271
873644383165435000,arcomedys,Savage,657,32415
1176953263184400000,Sahilarioussss,Sahilarioussss,996,27552
114203360,MehulFanawala,Mehul Fanawala,5218,27527
21843174,albinder,Albinder Dhindsa,893,17889
390602999,Social_Samosa,Social Samosa,93,41712
1214507121909220000,Chai_n_love,Chai Kadak ☕,3429,36529
862339384678518000,whysaloni,Saloni Mittal,762,24793
1397629124173200000,highonsaudade,Shirin Sharma,1029,26321
988362975617601000,zomatocare,zomato care,15,63012
974261491636387000,Awwwchallllll,Aachal 🌠,511,15607
1298868025697770000,ArchieeAgarwal,Archie Agarwal,649,8927
193260163,TheWriterWoman_,Manasi Shah | Rajmata,2702,8107
838879686797090000,allindiamemes,All India Memes,695,55780
1183634323,malikgarv,Garv Malik,1711,9060
292159076,sajcasm_,Sajcasm,2726,6780
866959946927177000,sumairashaik,sumaira shaikh,277,12067
481968108,ayushshukl99,Ayush Shukla,1110,9921
1244851747375290000,RanaMishka,MISHKA RANA,403,32655
15170758,harshamjty,Sriharsha Majety,182,23591
1570390796192590000,Kriteeaaa,Kriti Sharma,21,2
1637920874669000000,CHiNKuK39116929,CHiNKu Kumar,5,0
911228743737212000,Vikas_soulful,Vikas chaudhary,93,8
1561713698938710000,AkankshaMali3,Akanksha Mali,66,7
1637899000320760000,ArshadA62679967,Arshad Ali,7,0
32332988,kunalb11,Kunal Shah,1319,770664
1459126464931000000,Ashneer_Grover,Ashneer Grover,18,271756
1660202983,Nithin0dha,Nithin Kamath,151,518797
22596514,AnupamMittal,Anupam Mittal,628,208999
16489912,bhash,Bhavish Aggarwal,503,426283
87419705,rajshamani,Raj Shamani,452,301140
95042637,VaibhavSisinty,Vaibhav Sisinty,306,112820
31501423,gauravmunjal,Gaurav Munjal,3958,107323
2150865564,vineetasng,Vineeta Singh,1544,116258
2314914986,amangupta0303,Aman Gupta,66,247813
8806712,BeingPractical,pj,561,101821
63066473,championswimmer,Arnav Gupta,1534,29783
37151522,banglani,Ritesh Banglani,2518,41896
135227064,1kunalbahl,Kunal Bahl,948,284139
57267301,rajeshsawhney,Rajesh Sawhney 🇮🇳,1195,52832
35745089,sbikh,Sanjeev Bikhchandani,1938,46613
91881021,upadhyay_harsh1,Harsh Upadhyay,2290,29746
44572832,viditaatrey,Vidit Aatrey,269,50092
223110908,RajanAnandan,Rajan Anandan,750,89427
2611218758,Venkatblr107,Venkatesh Adikesavan,615,24
1637949891677700000,khinmg_shw72410,Khinmg Shwe,16,0
775215200,anmolgandhi007,Anmol Gandhi,340,44
1614335490316190000,keshav_ag_10,Keshav Agarwal,243,0
1059882075866640000,FerozKhann7806,Romeo_1014,180,1
1631603229308880000,ArpitM1003,Arpit Mittal,85,0
794446133670113000,Pritammourya4,Pritam mourya,8,4
1637917212429410000,Kristin45432490,Kristine Gustafson,7,0
1577985676301450000,JallanSristi1,Sristi Jallan,80,2
970314474195439000,banjodeiyowun,Banjo de Iyowun,855,16
1637125683737660000,mikey3alt,mikey3alt,129,0
2943523231,kumarpraveen97,Praveen Choudhary,63,10
3193332397,krishnkantswn,krishnkant kumar,389,48
1502671904783560000,DhinojaThe,Rajan Dhinoja,37,2
1479156045050040000,Yme811,Yash Mohan,133,31
1511306735310360000,Devansh27691223,Devansh Agrawal,79,2
1513144898299760000,alok_agrawal_20,Alok Agrawal,109,8
3134972347,mahimasharda201,Mahima Sharda,54,25
1582430046698240000,purequalitymart,purequalitymart,99,1
757073036734373000,coolkals,Kunal Kalra,389,11
1637870285587110000,rohitsi37171916,rohit singh,114,0
1367890959623670000,pglfmc,Pankaj Pramanik(https://pglfmc.com/Dubai GlobalHQ),159,79
93810294,vicked_ashi,Ashish Vicky,1926,151
1482368319202420000,4Vlogging,Pandeyudit004,133,5
1543445139548470000,SunilSh49072544,Sunil Sharma,1203,108
1147776386943180000,FaizanK__575,Faizan Khatri,61,4
1637880070910910000,kadrulislam57,kadrul islam,33,0
1637382997820280000,Shreedh17353518,Shreedhar Bhat,16,0
456942931,akshay_in,Akshay Gupta,345,47
1144486170690060000,Karthik25291199,Karthik,2885,208
1635946341904910000,snackingindia,Snacking India,23,1
1637863351085850000,Jashoba71441600,Jashobanta Patra,104,2
65343897,agrwlNIT,Nitish agrawal,110,76
1198443379253600000,Rushike34522093,Rushikesh Gaikwad,344,9
1637812925736910000,Shanedeevar,Sam Reynolds,103,6
1637860221652700000,DeveshB49339715,Devesh Bhardwaj,65,4
1622975521033430000,mishradilip171,Dilip Mishra,2704,110
973584276024385000,anxushsharma,Ankush Sharma,57,136
1604002078023910000,Shivanii_96,Shivani,107,66
245705302,MunishPundir25,Munish Pundir,110,55
450442657,mohitbhansali91,Mohit Bhansali,4144,354
1275054045460170000,santanusweta,sweta Mohanty,1751,261
1023629769055850000,manusharmu,manu,389,42
1637844801000470000,oneev26723,Monica,29,0
1632547692827240000,clocknes,कश्यप,100,66
1628220088515170000,Lakshma60434968,Lakshman Kumar,368,27
1635184239640560000,kripash61569433,kripashankar mishra,455,3
1637636121055070000,AKASHYA83931190,AKASH YADAV,126,0
1540992585006710000,2minuteK,SANJAYKUMAR MEHTA,398,17
1434971864279830000,ji_amarstwt,Amarjeet Singh,113,3
70162453,Snehal1404,Snehal Khemani,63,13
1637052725132240000,Satya62789,Satyabrata gangai Gangai,21,0
113264052,SurajK_,Suraj Kanchan,655,310
1637735647225020000,humamraza7860,Humam Raza,19,0
1012699243,sasinganesh1,sasinganesh,554,35
876792334758813000,Shubhamsj111,Shubham jaiswal,175,3
1637783231700380000,Yogeshdm130,Yogesh d m,16,0
1636718910824210000,RodkfkifJ,Rohit @,20,0
1228258916825320000,Pravinargade18,Pravin Argade,185,24
1566442206151710000,RYJadekar,Rohit Jadekar,58,7
1611321522752290000,MekdiSole,Mekdi Sole,17,1
1467880600618940000,Mukherjee_ar,Arpan Mukherjee,160,10
1558002513605180000,rahulspatel91,RahuL PateL,239,0
1619368096518520000,MapmakSoftware,MapMak Software Solutions,395,38
1587732428461850000,SmmboCom,smmbo.com,2659,305
1402525681955650000,DigitalKrishanu,Krishanu Choudhury,144,114
1286146566781140000,itsMordhwaj,Mordhwaj Verma,88,35
767938700,Sandeepsingh039,sandeep  singh,117,3
393355095,trohit901,Rohit Tiwari,134,22
1386341632711150000,Tamilarasan1303,Tamilarasan,9,1
1206562110274070000,iamvarunguru,Varun Guru,299,46
1637753116371080000,bhardwaj_a93425,Aamit bhardwaj,6,0
1604743682363510000,the_mdfazal,MD Fazal Mustafa,249,179
778640480368074000,Garul7295,Gnanaarul.C⚡⭐,722,20
1631135577906240000,kumara_pahalada,पहलाद कुमार पहलाद कुमार,1139,142
1585600189582050000,VashisthaJaya,JAYA VASHISTHA,94,0
771172928,Moonguy92,Anonymous,2015,30
1637736234461150000,arjunvswa,Arjun V,17,0
1637734136390580000,ShreeramBh93860,Shreeram Bhai,94,3
1636761423299720000,NishantDas95257,Nishant Das,13,1
2388713736,JayeshG081283,Jayesh Patel (JP),271,80
1514896252093180000,motimehta789,R K Jain,628,15
288275756,Chinmay_masur,Chinmay Masur,249,23
1554415457440250000,GangaDa61526294,Ganga Das,21,1
1431924281240260000,Krishna07059138,Krishna Dev Tiwari Tiwari,61,0
1637714505080920000,AkashKaramli,Akash Karamli,14,0
1637713218356240000,LarbinRong17475,Larbin Rongpipi,14,0
97495278,rahulkanungo,rahul kanungo,465,16
2297307786,punamprafulla,Punam Prafulla B,312,19
1240690031645170000,AlokKum25320746,ALOK KUMAR,2145,268
1542455757731290000,RajKuma41248691,Raj Kumar,112,2
1445062750162460000,SanuDhere,sanu dhere,96,1
1411238327857160000,NitinMairale5,Nitin Mairale,153,8
98674001,Vinny708,Vinay verma,43,10
1479100531796700000,Kamal_Singhji,Kamal Singh ji,3102,1212
860885514831790000,prasannayr18,Prasanna YR,268,23
313224866,PriithuM,Priithu Murarka,487,90
1395787451105360000,Neelesh83675804,Neelesh Jhariya,498,21
1456171142025140000,JyotiSa23,J 🌸,978,1836
1607596191109500000,AbhijitBamane7,Abhijit Bamane,257,0
1251249806,NaymaHasanDiana,Nayma Hasan Diana,771,68
2758489933,mi_vav,Vaibhav Misra,321,8
729658443800453000,GK2227,gokulakrishnan,735,7
791660630,Trisha_981,Trisha Malakar,87,51
1622153705335420000,CrystalBullD,Crystal Bulldog,316,4
1623011553753840000,zeusdigi,Vikram Karthick Kannan,33,0
328411920,balwantpanchal,Balwant panchal,2729,600
1637627468096860000,MitraPriyakumar,PRIYAKUMAR MITRA,24,0
1130900718,BhargavRavat,Bhargav Ravat,474,69
264985836,rao2p0,rao2p0,891,47
1607383899021410000,DipakRakshit11,Dipak Rakshit,100,2
1326432849625420000,medha_mukerji,Medha Mukerji,209,104
1395355247145480000,nmyogi2807,Nayan M,82,23
1637605850734030000,DasKopl29073,Kopl Das,54,0
2438706865,mdnuruzzaman99,Md. Nuruzzaman Khan,763,34
720956067648118000,BhumikaMotiwala,Bhumika Motiwala,214,5
3229994821,navneetsaxena25,Navneet V saxena,4234,87
1637548616813520000,manoj3887,Manoj Singh,14,0
1548928385233350000,vinaypatel2468,VINAY PATEL,24,1
1445090943753860000,SanketUbale14,Sanket Ubale,30,2
1504418124128730000,pbp18441,Mike,77,2
2514553801,vguppi7,Guppi vinayak,468,22
1542573902492070000,monkyseemonkyd0,monkey 🙈,1459,44
1215168834904050000,SyedAij50913533,Syed Aijaz ALi,20,0
1511292471485120000,madhawaedu,Madhawa Edussuriya,2947,203
1637526278629880000,Ali21Crazy91337,Crazy Ali21,5,0
1230675908014430000,pol84958499,Polko,58,0
1637522642893670000,nlathiya565,Nirav Patel,485,8
121011438,ASHOKSARAWAGI,ASHOK KUMAR SARAWAGI,175,29
1414306112766020000,goanbynature,goanbynature,54,0
925496598653784000,IamAdityaBhatia,Aditya,93,9
1600070868440610000,RameezMeman,rameez meman,38,0
1505189705456910000,SudarshanHarad1,Sudarshan Gopalakrishna Haradur,418,0
734432197155770000,WalkingEarthnow,The One who Knows,488,132
1187683183216610000,PRATAPJENA_,PRATAP KUMAR JENA,35,580
1227515238087410000,ankurmehta011,Ankur Mehta,457,28
1500488005450330000,MaheshP2122,Mahesh Prabhu,27,1
1256464911368150000,ROHITRA04462335,Rohit Ranjan,218,10
1637487922050990000,Nareshlodhi1998,Naresh Lodhi,18,0
1544286748477640000,dr_ajay_purani,ajay purani,43,0
1578206329809810000,PANKAJPARKHE151,PANKAJ PARKHE,562,33
2936089897,rajivsingh_11,Rajiv Singh,3993,466
1637421684109040000,JerkIndian00021,indian jerk,56,1
1637496679237840000,Dharmesh704525,Dharmesh Pandey,55,1
1250353051451310000,vikas1517,Hardik Sharma,44,8
740061020,singh_nike,Abhimanyu Singh,72,2
1593562365748210000,Gajendr68430137,Gajendra Swami,2,0
132461064,deepakbari3,Deepak Bari,196,54
177895034,voiceofCM_India,Madhu D H,1203,126
1637474506469000000,SathvikShe97151,Sathvik Shetty,13,0
1569921258548240000,AnchalS50503949,Manoj sharma,85,3
1637478356282220000,SonikaPara27054,Sonika Parashar,22,1
1593230300741430000,Shubham23018ss,Shubham Mali,34,0
1585879702543030000,Aditya_Hapaliya,ADITYA HAPALIYA🔱,206,14
1451964508944030000,vanjara_hardik,Hardik Vanjara,91,0
2311481395,kattaPrathap,katta prathap,33,3
1612856230451760000,SharltonStann,Sharlton Stann,20,1
947789538,shreyesmohanya,Shreyes m,926,50
1293586943003850000,Avinash47510634,Avinash,18,0
1591006169715250000,YOGESHM95921366,Baliraja Krishi Bahudeshiya Sanstha,72,1
1613345532088570000,Jitendr32039242,Jitendra Kumar Rajvanshi,419,44
1467165467282340000,MdShahb91297363,Md Shahbaaz,136,2
1636354555834180000,asiatradz,AsiaMatters,272,3
1469448379310620000,UdayVungurala,Uday prakash vungurala,195,10
1390067325089590000,kolawolebolaj23,kolawolebolaji,533,49
1457432411587760000,deepkhatri19692,Deep Khatri,18,0
2989372120,nimjema,Mangesh Nimje,410,14
1637425347875550000,RamChoudhr32931,Ram Choudhry,17,0
1226343190950660000,VishuHadake,Vishwajeet Hadake ,140,48
1637414041831210000,AayK9622024354,Aay K,13,0
1637412658008790000,amiyasaha008,Amiya Saha,39,0
1399745287715900000,ArunavoChakrab4,Arunavo Chakraborty,933,132
1575498671465970000,Philip8Akande,Akande Philip,243,2
1308787073130860000,Santosh49197862,Sαɳƚσʂԋ KυɱαR,3462,533
1637401984570400000,RohanSonwane05,Rohan Sonwane,39,0
1425206665196930000,_mohdfaiz_mf_,Mohammad Faiz khan,28,3
104424572,vishnupatekar,Vishnu Patekar - Your Technology Partner!,1015,159
987617155347722000,Krishnahahahha,Krishna Vardhan,356,14
1558024980923030000,omkar_avasare,Omkar Avasare,42,1
1207613209043050000,hallendevid,hay,197,16
3147983058,ikpsgill1,Dr Gill,819,137469
117800926,HaramiParindey,Pakchikpak Raja Babu,413,154018
178358867,swatic12,SwatKat💃,438,132860
3809480178,xavierunclelite,Xavier Uncle,7541,97347
912253176,meme_ki_diwani,Shivani,707,48308
3868003454,EducatedMoron,The Educated Moron,688,54559
1262307757945840000,MSDianAbhiii,Abhishek,996,28494
957742375,RomanaRaza,🇮🇳 رومانا,259,58657
755672251832217000,theprayagtiwari,Prayag,389,44930
1703902436,NeecheSeTopper,Neeche Se Topper,699,37103
1028152356137880000,Memeswalaladka,rozgar_CA,1066,13363
62766520,Madan_Chikna,Godman Chikna,497,132904
1361669091157710000,kadaipaneeeer,Shubh,986,21772
720844501804167000,Sassy_Soul_,Aditi.,485,70624
128529833,Puneite_,Prithvi,1675,16409
1315900388457930000,shibhhuu,Shibhhuu,311,19591
744478728651079000,Pagal_aurat,Tweet Chor👑,290,30107
871636560256487000,shivani_yaar,Shivani,3309,28791
1355525185609150000,daalmakhniiii,S.,887,28803
1635703457813230000,Pb05Pov,Pb05POV,232,8
1622294878700060000,AdnanKh05550934,Adnan Khan,473,8
1219809595750670000,NikhilA26615071,N,59,0
1636515460010180000,__HEISEHIJE2,EHIJE💫,178,7
908185016026374000,imSachinvirat,stewie griffin,101,24
1294945546931580000,anjalig22,🍂,576,0
1613844272381580000,sana_sonar,Sana Sonar,374,230
1363147146480860000,AlokDas_17,Alok Das,594,11
1185802680045730000,mondal_sandhay,sandhay mondal,58,9
1269973483359890000,Shivoham,Shivoham,1755,1988
1637486375019630000,feisty_fuwn,Tsan,45,1
1415535414090370000,losersmindset,Losers Mindset,16,7
1635445438118520000,imravisgh,Ravi,78,0
1217107521652970000,chandnee__,GracYStař,449,50
889875840917532000,Rishabh74835716,Rishabh Rao,977,880
1558872400481070000,arham_dehelvi,Arham dehelvi,38,2
1505812165403490000,XindumYT,X1ndum,887,181
1636086832093080000,imparulchopra,Parul Chopra,70,7
1260217377515540000,_foring,FORING ,4666,197
2636153538,macandcheesish,trying to be mysterious,4304,13732
1713623575,aneesmasoodi4u,Anees Masoodi,380,104
1339541314854100000,JahnaviVaish,Jahnavi_Vaish,135,1
849091859326566000,themkaiq,Quresh🍺,290,112
1579897201236800000,spiritualvodka_,Nisha Srivastava,101,1
1637354520559910000,PiyushB81,Piyush Banerjee,134,1
1624973103435600000,SamiUllah357786,Sami Ullah,181,4
904080350564859000,NirvidhPatel,nirvidh,649,33
1637422041887540000,Sandeepd1418,Sandeep Dalal,318,3
1483723648095910000,toxic_girrl,MemeWaliChhori,31,0
1068325652888050000,calm_vishu,ABD,693,95
1304530714151400000,thegauravjain_,Gaurav Jain,2218,1022
1548109980154620000,Ark11_11,Ark,342,16
1565253512815980000,simdafo,MSD,369,0
1406593686293540000,pratham8001,Dark humōr,2410,61
1402986200227400000,theotherhassan,حسن,170,0
1636227589705480000,BreezeboyGO,breezeboy G.O,194,10
1635919878078040000,choudharyh95,harsh choudhary,47,3
1058892246525890000,bussinNav,nav,87,19
1445098937421940000,justnottamomma,Shikha Pruthi Gupta✨✳️♥️,392,5300
1384394555508750000,49Yadnesh,Yadnesh`49,7,0
1177115540,vivek_anant,Vivek Anant,671,92
2657838880,SagarTathode,Sagar Tathode,1197,33
1295995228298580000,Arindam16803674,Arindam mandal,1737,24
1510158332950150000,AkinkunmiWaris,Waris Akinkunmi,204,23
2283326648,prakdadlani,Prakash Dadlani,1872,157
1329254091063650000,Harshal45199359,Harshal,82,27
114180327,hemanshu1909,Hemansshu Paatel,940,63
1384012213870940000,samguy3103,Samyak Jain,142,42
1085257524066930000,SwakkharNandy,Swakkhar Nandy,71,432
1272097637089460000,nerdy_naman,Naman,418,6
1637009774293270000,ashwanisoni964,Ashwani soni,143,3
1859629136,by2tea_,ಪ್ರವೀಣ್ | Praveen ,960,924
1636705432549870000,b_himanee,Himanee Bhadane,25,0
1622254231716770000,yaartubhinaa,The Guy Next Door,2558,280
1569762693304950000,Dhrm652002Singh,Dharmendra Singh Rajpurohit,347,13
1636554198782480000,harshiiittt,Harshit K,493,2
1607097745814450000,Zeher_11,💫,271,8
1608751089763120000,MR_NITISH_JI,мя.ηιтιѕн,227,149
1591019509284240000,rptShkl3,𝐀𝐫𝐩𝐢𝐭 𝐒𝐡𝐮𝐤𝐥𝐚 ♥️,194,8
1617343283897990000,Arkizatyourdesk,Arkaprava Bhattacharya(LarryDArk),366,14
1631987306054790000,AaravSi91455940,Aarav Singh,44,0
1473331598305070000,Saumya034500161,Jolie,451,7
1576281131078380000,SrujanK95,Srujan Kumar,207,7
850056460415455000,RFatima__,Rida.,428,25452
1466811161668630000,mee_di23,MD,256,21
1636472434558640000,NalubegaJo55628,Nalubega Josephine,132,2
912334589103763000,LaskarAbbi,Abhijit Laskar,514,9
1457317456821640000,Payal_Dcosmos,Payal Sharma,385,1197
318990117,AnshujGupta,Anshuj Gupta,138,15
1136911100027390000,Rimi2129,Rimi_😍#OurBloomingYouth 2/6 tvN/Viki,491,97
1357285458179280000,vijayjitendas,Vijay Jiten Das,20,1
908911134043914000,dukhlord,Raghav,194,195
1209042510749650000,saksham_akku,Saksham Tiwari,131,8
